Force ;Length;Time;Position;Small Length
29.463190;0.1183482;2.36;0.1183482;0.01891835
29.692230;0.1192473;2.38;0.1192473;0.01891845
29.765520;0.120213;2.4;0.120213;0.01891855
29.891490;0.1211454;2.42;0.1211454;0.01891865
30.022040;0.1221444;2.44;0.1221444;0.01891875
30.161750;0.1231767;2.46;0.1231767;0.01891884
30.280850;0.1240758;2.48;0.1240758;0.01891894
30.498440;0.1250748;2.5;0.1250748;0.01891903
30.571730;0.1260405;2.52;0.1260405;0.01891911
30.704570;0.1269396;2.54;0.1269396;0.01891917
30.823670;0.127872;2.56;0.127872;0.01891923
30.949640;0.128871;2.58;0.128871;0.01891929
31.068740;0.1299366;2.6;0.1299366;0.01891937
31.183250;0.1310688;2.62;0.1310688;0.01891943
31.455800;0.1322343;2.64;0.1322343;0.01891949
31.634450;0.1333332;2.66;0.1333332;0.01891953
31.710040;0.1344321;2.68;0.1344321;0.0189196
31.959680;0.135531;2.7;0.135531;0.01891969
32.165820;0.1365966;2.72;0.1365966;0.01891979
32.339890;0.1375956;2.74;0.1375956;0.0189199
32.509370;0.1385946;2.76;0.1385946;0.01892001
32.557470;0.1395936;2.78;0.1395936;0.01892014
32.637630;0.1406259;2.8;0.1406259;0.01892029
32.745280;0.1417248;2.82;0.1417248;0.01892046
32.880410;0.1428903;2.84;0.1428903;0.01892061
32.997220;0.1440558;2.86;0.1440558;0.01892077
33.223960;0.1452546;2.88;0.1452546;0.01892094
33.384290;0.1464534;2.9;0.1464534;0.01892112
33.462160;0.1476855;2.92;0.1476855;0.0189213
33.700360;0.1488843;2.94;0.1488843;0.01892146
33.860680;0.1500498;2.96;0.1500498;0.01892164
34.043910;0.1512153;2.98;0.1512153;0.01892181
34.101170;0.1523475;3;0.1523475;0.01892198
34.341660;0.1535463;3.02;0.1535463;0.01892213
34.408080;0.1547451;3.04;0.1547451;0.01892226
34.520310;0.1559106;3.06;0.1559106;0.01892237
34.776830;0.157176;3.08;0.157176;0.01892246
34.854700;0.1585746;3.1;0.1585746;0.01892254
34.998990;0.1600065;3.12;0.1600065;0.0189226
35.266960;0.1614384;3.14;0.1614384;0.01892265
35.459350;0.1628703;3.16;0.1628703;0.0189227
35.642580;0.1642356;3.18;0.1642356;0.01892274
35.857880;0.1654677;3.2;0.1654677;0.01892277
35.935750;0.1665666;3.22;0.1665666;0.01892278
36.080040;0.1676655;3.24;0.1676655;0.0189228
36.171660;0.1687977;3.26;0.1687977;0.01892281
36.249530;0.1699632;3.28;0.1699632;0.01892283
36.336560;0.171162;3.3;0.171162;0.01892283
36.423600;0.1723608;3.32;0.1723608;0.01892284
36.551860;0.1734597;3.34;0.1734597;0.01892285
36.650340;0.1745586;3.36;0.1745586;0.01892289
36.723630;0.1755576;3.38;0.1755576;0.01892296
36.838150;0.1765233;3.4;0.1765233;0.01892306
36.922900;0.177489;3.42;0.177489;0.01892317
36.973280;0.1783881;3.44;0.1783881;0.01892329
36.960690;0.1792872;3.46;0.1792872;0.01892343
36.977860;0.1802196;3.48;0.1802196;0.01892359
36.996190;0.1810854;3.5;0.1810854;0.01892375
37.009930;0.1818513;3.52;0.1818513;0.01892391
37.020240;0.1826838;3.54;0.1826838;0.01892405
37.033980;0.183483;3.56;0.183483;0.01892417
37.011650;0.1842822;3.58;0.1842822;0.0189243
37.007640;0.1850814;3.6;0.1850814;0.01892441
37.004780;0.1859472;3.62;0.1859472;0.01892453
36.975570;0.1868463;3.64;0.1868463;0.01892464
36.973280;0.1877454;3.66;0.1877454;0.01892475
36.993900;0.1886445;3.68;0.1886445;0.01892482
36.996760;0.189477;3.7;0.189477;0.0189249
37.030540;0.1903428;3.72;0.1903428;0.01892499
37.052300;0.1911753;3.74;0.1911753;0.01892507
37.077500;0.1919745;3.76;0.1919745;0.01892515
37.093520;0.1927404;3.78;0.1927404;0.01892523
37.110710;0.193473;3.8;0.193473;0.01892529
37.131320;0.1941723;3.82;0.1941723;0.01892536
37.145060;0.1948716;3.84;0.1948716;0.01892545
37.153080;0.1956042;3.86;0.1956042;0.01892554
37.153080;0.1963368;3.88;0.1963368;0.01892563
37.134180;0.1970694;3.9;0.1970694;0.01892572
37.134750;0.1978686;3.92;0.1978686;0.01892581
37.136470;0.1987344;3.94;0.1987344;0.01892589
37.134180;0.1996668;3.96;0.1996668;0.01892596
37.139330;0.2006325;3.98;0.2006325;0.01892602
37.234390;0.2015982;4;0.2015982;0.01892607
37.303090;0.2025972;4.02;0.2025972;0.0189261
37.369510;0.2034963;4.04;0.2034963;0.01892612
37.461130;0.2042955;4.06;0.2042955;0.01892614
37.580230;0.2051613;4.08;0.2051613;0.01892615
37.648940;0.2060271;4.1;0.2060271;0.01892614
37.662680;0.2068263;4.12;0.2068263;0.01892613
37.674130;0.2076588;4.14;0.2076588;0.01892613
37.692460;0.2085246;4.16;0.2085246;0.01892614
37.718800;0.2094237;4.18;0.2094237;0.01892616
37.742840;0.210456;4.2;0.210456;0.01892618
37.766890;0.2114883;4.22;0.2114883;0.0189262
37.852780;0.2126205;4.24;0.2126205;0.01892625
37.948970;0.213786;4.26;0.213786;0.01892632
38.049750;0.2149515;4.28;0.2149515;0.01892643
38.271920;0.216117;4.3;0.216117;0.01892655
38.445990;0.2173158;4.32;0.2173158;0.01892667
38.620050;0.2185146;4.34;0.2185146;0.01892681
38.684180;0.2197134;4.36;0.2197134;0.01892697
38.807870;0.2208123;4.38;0.2208123;0.01892714
38.931540;0.2218446;4.4;0.2218446;0.01892733
39.068960;0.2228769;4.42;0.2228769;0.01892752
39.167450;0.2239092;4.44;0.2239092;0.01892769
