Force ,Length,Time,Position,Small Length
15.90655,0.0495504,0,0.0495504,0.03146887
16.52495,0.05241419,0.02,0.05241419,0.03146887
17.23038,0.0552114,0.04,0.0552114,0.03146887
17.87168,0.0581418,0.06,0.0581418,0.03146887
18.53588,0.061272,0.08,0.061272,0.03146887
19.1497,0.06453539,0.1,0.06453539,0.03146887
19.80016,0.06786539,0.12,0.06786539,0.03146887
20.48727,0.0713619,0.14,0.0713619,0.03146887
21.26141,0.07489169,0.16,0.07489169,0.03146887
21.9531,0.07845479,0.18,0.07845479,0.03146887
22.64479,0.0818847,0.2,0.0818847,0.03146887
23.26777,0.0851481,0.22,0.0851481,0.03146887
23.8541,0.08827829,0.24,0.08827829,0.03146887
24.38546,0.0913419,0.26,0.0913419,0.03146887
24.91683,0.0941391,0.28,0.0941391,0.03146887
25.32909,0.0966699,0.3,0.0966699,0.03146887
25.62226,0.09900089,0.32,0.09900089,0.03146887
25.82381,0.1011987,0.34,0.1011987,0.03146887
26.02536,0.1033632,0.36,0.1033632,0.03146887
26.06888,0.1054611,0.38,0.1054611,0.03146887
26.2773,0.1074258,0.4,0.1074258,0.03146887
26.46511,0.1092573,0.42,0.1092573,0.03146887
26.54298,0.1110888,0.44,0.1110888,0.03146887
26.64376,0.1129869,0.46,0.1129869,0.03146887
26.69415,0.1149183,0.48,0.1149183,0.03146887
26.77431,0.1171161,0.5,0.1171161,0.03146887
27.00105,0.1192806,0.52,0.1192806,0.03146887
27.22093,0.1213785,0.54,0.1213785,0.03146887
27.38125,0.1235097,0.56,0.1235097,0.03146887
27.57364,0.1257741,0.58,0.1257741,0.03146887
27.64923,0.128205,0.6,0.128205,0.03146887
27.80268,0.130869,0.62,0.130869,0.03146887
28.16456,0.1336662,0.64,0.1336662,0.03146887
28.53102,0.13653,0.66,0.13653,0.03146887
28.9158,0.1393272,0.68,0.1393272,0.03146887
29.23645,0.1422576,0.7,0.1422576,0.03146887
29.52045,0.1452879,0.72,0.1452879,0.03146887
29.84568,0.1483515,0.74,0.1483515,0.03146887
30.11136,0.1515483,0.76,0.1515483,0.03146887
30.44118,0.1548783,0.78,0.1548783,0.03146887
30.80305,0.1582083,0.8,0.1582083,0.03146887
31.14661,0.1616382,0.82,0.1616382,0.03146887
31.43977,0.1650015,0.84,0.1650015,0.03146887
31.765,0.1682649,0.86,0.1682649,0.03146887
32.03069,0.1714284,0.88,0.1714284,0.03146887
32.23224,0.1744587,0.9,0.1744587,0.03146887
32.44295,0.1773225,0.92,0.1773225,0.03146887
32.62618,0.1799865,0.94,0.1799865,0.03146887
32.79108,0.1822176,0.96,0.1822176,0.03146887
32.77505,0.1845486,0.98,0.1845486,0.03146887
32.71207,0.1867797,1,0.1867797,0.03146887
32.6216,0.1890108,1.02,0.1890108,0.03146887
32.55747,0.1910421,1.04,0.1910421,0.03146887
32.53456,0.1929069,1.06,0.1929069,0.03146887
32.47502,0.1947717,1.08,0.1947717,0.03146887
32.37882,0.1967364,1.1,0.1967364,0.03146887
32.30095,0.1988343,1.12,0.1988343,0.03146887
32.27117,0.2009655,1.14,0.2009655,0.03146887
32.29408,0.2031966,1.16,0.2031966,0.03146887
32.30782,0.2054277,1.18,0.2054277,0.03146887
32.38798,0.2078253,1.2,0.2078253,0.03146887
32.37653,0.2103894,1.22,0.2103894,0.03146887
32.50021,0.2130534,1.24,0.2130534,0.03146887
32.73612,0.2158839,1.26,0.2158839,0.03146887
32.93309,0.2187144,1.28,0.2187144,0.03146887
33.23083,0.2214783,1.3,0.2214783,0.03146887
33.48735,0.2242422,1.32,0.2242422,0.03146887
33.64768,0.2271393,1.34,0.2271393,0.03146887
33.7141,0.2301363,1.36,0.2301363,0.03146887
33.84007,0.2331333,1.38,0.2331333,0.03146887
34.12865,0.2362302,1.4,0.2362302,0.03146887
34.36227,0.2393937,1.42,0.2393937,0.03146887
34.60963,0.2426904,1.44,0.2426904,0.03146887
34.89364,0.2460537,1.46,0.2460537,0.03146887
35.17764,0.2491506,1.48,0.2491506,0.03146887
35.41584,0.2521476,1.5,0.2521476,0.03146887
35.47997,0.2551446,1.52,0.2551446,0.03146887
35.60594,0.2579751,1.54,0.2579751,0.03146887
35.72504,0.2606391,1.56,0.2606391,0.03146887
35.83955,0.2630367,1.58,0.2630367,0.03146887
35.9243,0.2652012,1.6,0.2652012,0.03146887
35.91972,0.2672658,1.62,0.2672658,0.03146887
35.83498,0.2694969,1.64,0.2694969,0.03146887
35.7342,0.2716614,1.66,0.2716614,0.03146887
35.65633,0.2736927,1.68,0.2736927,0.03146887
35.61052,0.2755242,1.7,0.2755242,0.03146887
35.55784,0.2772891,1.72,0.2772891,0.03146887
35.49142,0.2790873,1.74,0.2790873,0.03146887
35.41584,0.2810853,1.76,0.2810853,0.03146887
35.33339,0.2832831,1.78,0.2832831,0.03146887
35.26696,0.2855142,1.8,0.2855142,0.03146887
35.31392,0.2877453,1.82,0.2877453,0.03146887
