Force ,Length,Time,Position,Small Length
23.82891,0.0828171,0,0.0828171,0.03146887
25.62913,0.088911,0.02,0.088911,0.03146887
27.15909,0.0941391,0.04,0.0941391,0.03146887
28.2493,0.0990342,0.06,0.0990342,0.03146887
29.17003,0.1041624,0.08,0.1041624,0.03146887
29.96249,0.1094571,0.1,0.1094571,0.03146887
30.78244,0.1154511,0.12,0.1154511,0.03146887
31.64362,0.1220778,0.14,0.1220778,0.03146887
32.71092,0.1293039,0.16,0.1293039,0.03146887
33.87901,0.1371627,0.18,0.1371627,0.03146887
35.07915,0.1456875,0.2,0.1456875,0.03146887
36.47628,0.1541457,0.22,0.1541457,0.03146887
37.92836,0.1621044,0.24,0.1621044,0.03146887
39.25219,0.1690308,0.26,0.1690308,0.03146887
40.41111,0.1747584,0.28,0.1747584,0.03146887
41.24939,0.1798533,0.3,0.1798533,0.03146887
41.78533,0.184815,0.32,0.184815,0.03146887
42.16095,0.1899099,0.34,0.1899099,0.03146887
42.4816,0.1953711,0.36,0.1953711,0.03146887
42.86638,0.2015649,0.38,0.2015649,0.03146887
43.37026,0.2085246,0.4,0.2085246,0.03146887
44.03446,0.216117,0.42,0.216117,0.03146887
44.80403,0.2246085,0.44,0.2246085,0.03146887
45.73849,0.2334996,0.46,0.2334996,0.03146887
46.73251,0.2419245,0.48,0.2419245,0.03146887
47.78149,0.249417,0.5,0.249417,0.03146887
48.70222,0.2556441,0.52,0.2556441,0.03146887
49.29771,0.2608389,0.54,0.2608389,0.03146887
49.54049,0.265734,0.56,0.265734,0.03146887
49.55423,0.2707623,0.58,0.2707623,0.03146887
49.53133,0.2760903,0.6,0.2760903,0.03146887
49.52102,0.2821509,0.62,0.2821509,0.03146887
49.54049,0.2889441,0.64,0.2889441,0.03146887
49.99398,0.2964366,0.66,0.2964366,0.03146887
50.47953,0.3045618,0.68,0.3045618,0.03146887
51.08877,0.3133863,0.7,0.3133863,0.03146887
51.89956,0.3218778,0.72,0.3218778,0.03146887
52.6966,0.3297033,0.74,0.3297033,0.03146887
53.45242,0.3363966,0.76,0.3363966,0.03146887
53.98379,0.3419244,0.78,0.3419244,0.03146887
54.14411,0.3469527,0.8,0.3469527,0.03146887
54.09372,0.3520143,0.82,0.3520143,0.03146887
53.87843,0.357309,0.84,0.357309,0.03146887
53.81201,0.36297,0.86,0.36297,0.03146887
53.69978,0.3693303,0.88,0.3693303,0.03146887
53.69291,0.3764565,0.9,0.3764565,0.03146887
54.02501,0.3840489,0.92,0.3840489,0.03146887
54.51515,0.3924405,0.94,0.3924405,0.03146887
55.1702,0.400932,0.96,0.400932,0.03146887
55.88478,0.4090239,0.98,0.4090239,0.03146887
56.55357,0.4161501,1,0.4161501,0.03146887
57.117,0.4222107,1.02,0.4222107,0.03146887
57.38726,0.4274388,1.04,0.4274388,0.03146887
57.38726,0.4324671,1.06,0.4324671,0.03146887
57.28648,0.437562,1.08,0.437562,0.03146887
56.97042,0.44289,1.1,0.44289,0.03146887
56.79635,0.4488507,1.12,0.4488507,0.03146887
56.81467,0.4554108,1.14,0.4554108,0.03146887
57.08493,0.4627035,1.16,0.4627035,0.03146887
57.43765,0.4706622,1.18,0.4706622,0.03146887
57.89114,0.4793535,1.2,0.4793535,0.03146887
58.54618,0.4880114,1.22,0.4880114,0.03146887
59.19664,0.4960368,1.24,0.4960368,0.03146887
59.88834,0.5028966,1.26,0.5028966,0.03146887
60.38305,0.5085576,1.28,0.5085576,0.03146887
60.44718,0.5135859,1.3,0.5135859,0.03146887
60.4655,0.5185476,1.32,0.5185476,0.03146887
60.1586,0.5237757,1.34,0.5237757,0.03146887
59.90208,0.52947,1.36,0.52947,0.03146887
59.82878,0.5358969,1.38,0.5358969,0.03146887
59.77382,0.5430564,1.4,0.5430564,0.03146887
60.08073,0.550782,1.42,0.550782,0.03146887
60.49757,0.5591736,1.44,0.5591736,0.03146887
60.99229,0.5676318,1.46,0.5676318,0.03146887
61.5603,0.5757237,1.48,0.5757237,0.03146887
62.13289,0.5829831,1.5,0.5829831,0.03146887
62.58638,0.5891103,1.52,0.5891103,0.03146887
62.7467,0.5943384,1.54,0.5943384,0.03146887
62.54057,0.5993001,1.56,0.5993001,0.03146887
62.0596,0.6045282,1.58,0.6045282,0.03146887
61.20758,0.6099228,1.6,0.6099228,0.03146887
60.07157,0.6164496,1.62,0.6164496,0.03146887
26.10552,0.6240753,1.64,0.6240753,0.03146887
