Force ,Length,Time,Position,Small Length
17.46171,0.0523143,0,0.0523143,0.03146887
18.22211,0.0552114,0.02,0.0552114,0.03146887
19.00999,0.0581751,0.04,0.0581751,0.03146887
19.75206,0.0612054,0.06,0.0612054,0.03146887
20.44833,0.0643023,0.08,0.0643023,0.03146887
21.11254,0.0671994,0.1,0.0671994,0.03146887
21.81339,0.0699633,0.12,0.0699633,0.03146887
22.41805,0.0726606,0.14,0.0726606,0.03146887
23.01354,0.0752247,0.16,0.0752247,0.03146887
23.57697,0.0776889,0.18,0.0776889,0.03146887
24.08543,0.07992,0.2,0.07992,0.03146887
24.49311,0.0820512,0.22,0.0820512,0.03146887
24.9466,0.0841491,0.24,0.0841491,0.03146887
25.29016,0.086247,0.26,0.086247,0.03146887
25.565,0.0884115,0.28,0.0884115,0.03146887
25.87649,0.0904761,0.3,0.0904761,0.03146887
26.21546,0.0924408,0.32,0.0924408,0.03146887
26.52695,0.09440549,0.34,0.09440549,0.03146887
26.81096,0.0963702,0.36,0.0963702,0.03146887
27.14535,0.0983682,0.38,0.0983682,0.03146887
27.47058,0.1005327,0.4,0.1005327,0.03146887
27.71336,0.1027638,0.42,0.1027638,0.03146887
28.01568,0.1050282,0.44,0.1050282,0.03146887
28.33633,0.1072593,0.46,0.1072593,0.03146887
28.68905,0.1096569,0.48,0.1096569,0.03146887
28.97305,0.1123209,0.5,0.1123209,0.03146887
29.28454,0.1151847,0.52,0.1151847,0.03146887
29.77468,0.1181484,0.54,0.1181484,0.03146887
30.30605,0.1211454,0.56,0.1211454,0.03146887
30.84657,0.1241424,0.58,0.1241424,0.03146887
31.30922,0.1272393,0.6,0.1272393,0.03146887
31.694,0.1304028,0.62,0.1304028,0.03146887
32.11543,0.1334997,0.64,0.1334997,0.03146887
32.54602,0.1365966,0.66,0.1365966,0.03146887
32.99493,0.1398267,0.68,0.1398267,0.03146887
33.36597,0.1431234,0.7,0.1431234,0.03146887
33.80114,0.1464201,0.72,0.1464201,0.03146887
34.21798,0.1496169,0.74,0.1496169,0.03146887
34.58444,0.1527471,0.76,0.1527471,0.03146887
34.89135,0.1558107,0.78,0.1558107,0.03146887
