Force ;Length;Time;Position;Small Length
16.73108;0.0450882;0;0.0450882;0.03146887
17.16167;0.0464202;0.02;0.0464202;0.03146887
17.57393;0.0476856;0.04;0.0476856;0.03146887
17.85336;0.0488178;0.06;0.0488178;0.03146887
18.16943;0.0500499;0.08;0.0500499;0.03146887
18.45343;0.0513153;0.1;0.0513153;0.03146887
18.72828;0.0525807;0.12;0.0525807;0.03146887
19.01228;0.0538794;0.14;0.0538794;0.03146887
19.32835;0.0551781;0.16;0.0551781;0.03146887
19.61694;0.05647679;0.18;0.05647679;0.03146887
19.91468;0.0576423;0.2;0.0576423;0.03146887
20.23991;0.0587745;0.22;0.0587745;0.03146887
20.49185;0.0598401;0.24;0.0598401;0.03146887
20.78044;0.0608724;0.26;0.0608724;0.03146887
21.03696;0.061938;0.28;0.061938;0.03146887
21.26141;0.062937;0.3;0.062937;0.03146887
21.52251;0.0640359;0.32;0.0640359;0.03146887
21.69658;0.0652347;0.34;0.0652347;0.03146887
21.93478;0.06653339;0.36;0.06653339;0.03146887
22.19588;0.06786539;0.38;0.06786539;0.03146887
22.4753;0.0692973;0.4;0.0692973;0.03146887
22.79595;0.0707625;0.42;0.0707625;0.03146887
23.13951;0.07229429;0.44;0.07229429;0.03146887
23.44184;0.07385939;0.46;0.07385939;0.03146887
23.79913;0.0754911;0.48;0.0754911;0.03146887
24.14727;0.07725599;0.5;0.07725599;0.03146887
24.48624;0.0790209;0.52;0.0790209;0.03146887
24.83896;0.0808524;0.54;0.0808524;0.03146887
25.25122;0.0827838;0.56;0.0827838;0.03146887
25.7551;0.0847818;0.58;0.0847818;0.03146887
26.25898;0.0867798;0.6;0.0867798;0.03146887
26.68957;0.0887445;0.62;0.0887445;0.03146887
27.08351;0.0907425;0.64;0.0907425;0.03146887
27.57364;0.0928404;0.66;0.0928404;0.03146887
27.92636;0.09507149;0.68;0.09507149;0.03146887
28.33404;0.09743579;0.7;0.09743579;0.03146887
28.81044;0.0997668;0.72;0.0997668;0.03146887
29.26851;0.1021644;0.74;0.1021644;0.03146887
29.73116;0.1046286;0.76;0.1046286;0.03146887
30.20298;0.1071261;0.78;0.1071261;0.03146887
30.71144;0.1096236;0.8;0.1096236;0.03146887
31.21532;0.1120545;0.82;0.1120545;0.03146887
31.73294;0.1144188;0.84;0.1144188;0.03146887
32.20475;0.1166166;0.86;0.1166166;0.03146887
32.63076;0.1186146;0.88;0.1186146;0.03146887
32.95141;0.1205127;0.9;0.1205127;0.03146887
33.24;0.1224441;0.92;0.1224441;0.03146887
33.5011;0.124209;0.94;0.124209;0.03146887
33.77136;0.1257741;0.96;0.1257741;0.03146887
34.03704;0.1271394;0.98;0.1271394;0.03146887
34.22943;0.1284714;1;0.1284714;0.03146887
34.27295;0.1297368;1.02;0.1297368;0.03146887
34.35998;0.1309356;1.04;0.1309356;0.03146887
34.46305;0.1321344;1.06;0.1321344;0.03146887
34.56153;0.1333332;1.08;0.1333332;0.03146887
34.6417;0.134532;1.1;0.134532;0.03146887
34.7356;0.1357974;1.12;0.1357974;0.03146887
34.84096;0.1371294;1.14;0.1371294;0.03146887
34.92799;0.1384614;1.16;0.1384614;0.03146887
35.01044;0.1396935;1.18;0.1396935;0.03146887
35.23261;0.1408257;1.2;0.1408257;0.03146887
35.29216;0.1418913;1.22;0.1418913;0.03146887
35.38836;0.1428903;1.24;0.1428903;0.03146887
35.46623;0.143856;1.26;0.143856;0.03146887
35.55784;0.1447884;1.28;0.1447884;0.03146887
35.61052;0.1458207;1.3;0.1458207;0.03146887
35.64717;0.1469862;1.32;0.1469862;0.03146887
35.71587;0.1482516;1.34;0.1482516;0.03146887
35.78917;0.1495836;1.36;0.1495836;0.03146887
35.90597;0.1509822;1.38;0.1509822;0.03146887
36.19456;0.1524474;1.4;0.1524474;0.03146887
36.26327;0.1540125;1.42;0.1540125;0.03146887
36.51063;0.1555776;1.44;0.1555776;0.03146887
36.74425;0.1571094;1.46;0.1571094;0.03146887
37.00993;0.1586745;1.48;0.1586745;0.03146887
37.21148;0.1602729;1.5;0.1602729;0.03146887
37.28935;0.1620045;1.52;0.1620045;0.03146887
37.44051;0.1639026;1.54;0.1639026;0.03146887
37.73826;0.1658007;1.56;0.1658007;0.03146887
38.06807;0.1677987;1.58;0.1677987;0.03146887
38.40705;0.1699299;1.6;0.1699299;0.03146887
38.70938;0.1720944;1.62;0.1720944;0.03146887
38.99796;0.174159;1.64;0.174159;0.03146887
39.35067;0.1763235;1.66;0.1763235;0.03146887
39.64384;0.1786545;1.68;0.1786545;0.03146887
39.93701;0.1810854;1.7;0.1810854;0.03146887
40.2485;0.1833831;1.72;0.1833831;0.03146887
40.61037;0.1856475;1.74;0.1856475;0.03146887
40.92187;0.1878786;1.76;0.1878786;0.03146887
41.21045;0.190143;1.78;0.190143;0.03146887
41.55858;0.1924407;1.8;0.1924407;0.03146887
41.80594;0.194805;1.82;0.194805;0.03146887
42.03498;0.1971027;1.84;0.1971027;0.03146887
42.30066;0.1993005;1.86;0.1993005;0.03146887
42.58009;0.2013651;1.88;0.2013651;0.03146887
