Force ,Length,Time,Position,Small Length
16.25927,0.045954,0,0.045954,0.03146887
16.61656,0.0473193,0.02,0.0473193,0.03146887
16.92805,0.048618,0.04,0.048618,0.03146887
17.13877,0.0498501,0.06,0.0498501,0.03146887
17.45025,0.0509823,0.08,0.0509823,0.03146887
17.75258,0.05211449,0.1,0.05211449,0.03146887
17.99078,0.0533466,0.12,0.0533466,0.03146887
18.21523,0.05464529,0.14,0.05464529,0.03146887
18.41679,0.0559107,0.16,0.0559107,0.03146887
18.69621,0.0571761,0.18,0.0571761,0.03146887
18.98022,0.05847479,0.2,0.05847479,0.03146887
19.1726,0.05974019,0.22,0.05974019,0.03146887
19.47951,0.0609723,0.24,0.0609723,0.03146887
19.7452,0.06210449,0.26,0.06210449,0.03146887
20.0063,0.06320339,0.28,0.06320339,0.03146887
20.25365,0.064269,0.3,0.064269,0.03146887
20.46437,0.0654012,0.32,0.0654012,0.03146887
20.67966,0.0666333,0.34,0.0666333,0.03146887
20.88121,0.06786539,0.36,0.06786539,0.03146887
21.11483,0.06913079,0.38,0.06913079,0.03146887
21.32554,0.0704295,0.4,0.0704295,0.03146887
21.59122,0.07179479,0.42,0.07179479,0.03146887
21.87065,0.0733266,0.44,0.0733266,0.03146887
22.0493,0.0748584,0.46,0.0748584,0.03146887
22.35162,0.0764235,0.48,0.0764235,0.03146887
22.69518,0.0780552,0.5,0.0780552,0.03146887
23.04331,0.0796536,0.52,0.0796536,0.03146887
23.31816,0.0813852,0.54,0.0813852,0.03146887
23.62506,0.0832167,0.56,0.0832167,0.03146887
23.96862,0.08511479,0.58,0.08511479,0.03146887
24.32591,0.0870795,0.6,0.0870795,0.03146887
24.77024,0.0890775,0.62,0.0890775,0.03146887
25.19625,0.09100889,0.64,0.09100889,0.03146887
25.56271,0.09294029,0.66,0.09294029,0.03146887
25.94749,0.0950382,0.68,0.0950382,0.03146887
26.28646,0.0972693,0.7,0.0972693,0.03146887
26.61628,0.09960029,0.72,0.09960029,0.03146887
27.05144,0.1019646,0.74,0.1019646,0.03146887
27.51868,0.1043289,0.76,0.1043289,0.03146887
27.96301,0.1066932,0.78,0.1066932,0.03146887
28.43024,0.1091241,0.8,0.1091241,0.03146887
28.84709,0.111555,0.82,0.111555,0.03146887
29.24103,0.1139859,0.84,0.1139859,0.03146887
29.71742,0.1164168,0.86,0.1164168,0.03146887
30.09304,0.1186812,0.88,0.1186812,0.03146887
30.43201,0.1207458,0.9,0.1207458,0.03146887
30.76641,0.1227105,0.92,0.1227105,0.03146887
31.04583,0.1246086,0.94,0.1246086,0.03146887
31.28403,0.1264068,0.96,0.1264068,0.03146887
31.54971,0.1280718,0.98,0.1280718,0.03146887
31.76042,0.1296036,1,0.1296036,0.03146887
31.94365,0.1310688,1.02,0.1310688,0.03146887
32.0032,0.1323342,1.04,0.1323342,0.03146887
32.10398,0.1335663,1.06,0.1335663,0.03146887
32.17956,0.1347984,1.08,0.1347984,0.03146887
32.25285,0.1360305,1.1,0.1360305,0.03146887
32.31469,0.1372626,1.12,0.1372626,0.03146887
32.37424,0.138528,1.14,0.138528,0.03146887
32.44066,0.1398267,1.16,0.1398267,0.03146887
32.48876,0.1410588,1.18,0.1410588,0.03146887
32.5506,0.1422909,1.2,0.1422909,0.03146887
32.66053,0.143523,1.22,0.143523,0.03146887
32.77505,0.1445886,1.24,0.1445886,0.03146887
32.8598,0.1456209,1.26,0.1456209,0.03146887
32.93538,0.1466199,1.28,0.1466199,0.03146887
32.98347,0.1476189,1.3,0.1476189,0.03146887
32.97202,0.1487178,1.32,0.1487178,0.03146887
33.01783,0.1498833,1.34,0.1498833,0.03146887
33.11174,0.1511487,1.36,0.1511487,0.03146887
33.18732,0.1525473,1.38,0.1525473,0.03146887
33.39116,0.1540125,1.4,0.1540125,0.03146887
33.55606,0.1554444,1.42,0.1554444,0.03146887
33.75762,0.1569096,1.44,0.1569096,0.03146887
33.93169,0.1583415,1.46,0.1583415,0.03146887
34.1424,0.1599732,1.48,0.1599732,0.03146887
34.31189,0.1617381,1.5,0.1617381,0.03146887
34.49053,0.1634031,1.52,0.1634031,0.03146887
34.74705,0.165168,1.54,0.165168,0.03146887
34.95319,0.1670994,1.56,0.1670994,0.03146887
35.18222,0.1690308,1.58,0.1690308,0.03146887
35.43874,0.1710954,1.6,0.1710954,0.03146887
35.77772,0.1732266,1.62,0.1732266,0.03146887
36.0434,0.1752912,1.64,0.1752912,0.03146887
36.3274,0.1774224,1.66,0.1774224,0.03146887
36.61599,0.1796868,1.68,0.1796868,0.03146887
36.87709,0.1820178,1.7,0.1820178,0.03146887
37.17484,0.1843155,1.72,0.1843155,0.03146887
37.48174,0.1866465,1.74,0.1866465,0.03146887
37.79323,0.1889775,1.76,0.1889775,0.03146887
38.11846,0.1914417,1.78,0.1914417,0.03146887
38.40705,0.1939725,1.8,0.1939725,0.03146887
38.69106,0.19647,1.82,0.19647,0.03146887
39.00254,0.1989342,1.84,0.1989342,0.03146887
39.24074,0.2013318,1.86,0.2013318,0.03146887
39.4881,0.2035962,1.88,0.2035962,0.03146887
39.70797,0.2056608,1.9,0.2056608,0.03146887
39.88662,0.2075589,1.92,0.2075589,0.03146887
40.07443,0.2093571,1.94,0.2093571,0.03146887
40.11795,0.2110554,1.96,0.2110554,0.03146887
40.2004,0.2125539,1.98,0.2125539,0.03146887
40.24621,0.2139525,2,0.2139525,0.03146887
40.23132,0.2152512,2.02,0.2152512,0.03146887
40.26339,0.2164167,2.04,0.2164167,0.03146887
40.25652,0.2175822,2.06,0.2175822,0.03146887
40.1523,0.2187477,2.08,0.2187477,0.03146887
40.02633,0.2199465,2.1,0.2199465,0.03146887
39.94846,0.2211453,2.12,0.2211453,0.03146887
39.92327,0.2224107,2.14,0.2224107,0.03146887
39.92556,0.2237094,2.16,0.2237094,0.03146887
39.91182,0.2249415,2.18,0.2249415,0.03146887
39.91067,0.2261403,2.2,0.2261403,0.03146887
39.90036,0.2272392,2.22,0.2272392,0.03146887
39.90723,0.2283381,2.24,0.2283381,0.03146887
39.89979,0.2293371,2.26,0.2293371,0.03146887
