Force ,Length,Time,Position,Small Length
53.12948,0.2245086,0,0.2245086,0.03146887
54.11434,0.2392938,0.02,0.2392938,0.03146887
55.33739,0.2542455,0.04,0.2542455,0.03146887
56.76657,0.2674656,0.06,0.2674656,0.03146887
58.1133,0.2795535,0.08,0.2795535,0.03146887
58.947,0.2914083,0.1,0.2914083,0.03146887
59.3501,0.304362,0.12,0.304362,0.03146887
59.67075,0.3191472,0.14,0.3191472,0.03146887
60.27082,0.3342987,0.16,0.3342987,0.03146887
61.33355,0.3482514,0.18,0.3482514,0.03146887
62.49706,0.3605724,0.2,0.3605724,0.03146887
63.28036,0.3721608,0.22,0.3721608,0.03146887
63.48191,0.3850479,0.24,0.3850479,0.03146887
63.48191,0.3994668,0.26,0.3994668,0.03146887
63.84837,0.4146516,0.28,0.4146516,0.03146887
64.70496,0.4290372,0.3,0.4290372,0.03146887
65.76311,0.4412583,0.32,0.4412583,0.03146887
66.56931,0.4526469,0.34,0.4526469,0.03146887
66.72964,0.4652343,0.36,0.4652343,0.03146887
66.66322,0.4790871,0.38,0.4790871,0.03146887
66.81667,0.4941387,0.4,0.4941387,0.03146887
67.4763,0.5089239,0.42,0.5089239,0.03146887
68.1405,0.5219442,0.44,0.5219442,0.03146887
28.10959,0.5342652,0.46,0.5342652,0.03146887
