Force ;Length;Time;Position;Small Length
3.605027;0.005760901;0;0.005760901;0.03146887
3.687480;0.006093901;0.02;0.006093901;0.03146887
3.763062;0.0063936;0.04;0.0063936;0.03146887
3.820321;0.0066933;0.06;0.0066933;0.03146887
3.875289;0.0070263;0.08;0.0070263;0.03146887
3.946290;0.0073926;0.1;0.0073926;0.03146887
4.044776;0.007758901;0.12;0.007758901;0.03146887
4.108906;0.008125201;0.14;0.008125201;0.03146887
4.145552;0.0085248;0.16;0.0085248;0.03146887
4.216553;0.0089244;0.18;0.0089244;0.03146887
4.303586;0.009390602;0.2;0.009390602;0.03146887
4.381459;0.0098568;0.22;0.0098568;0.03146887
4.484525;0.0102564;0.24;0.0102564;0.03146887
4.621947;0.0106893;0.26;0.0106893;0.03146887
4.729594;0.0110889;0.28;0.0110889;0.03146887
4.796014;0.0114885;0.3;0.0114885;0.03146887
4.880757;0.0118881;0.32;0.0118881;0.03146887
4.990695;0.012321;0.34;0.012321;0.03146887
5.084599;0.0128205;0.36;0.0128205;0.03146887
5.183084;0.01332;0.38;0.01332;0.03146887
5.281570;0.0138195;0.4;0.0138195;0.03146887
5.503736;0.0142857;0.42;0.0142857;0.03146887
5.664061;0.0147186;0.44;0.0147186;0.03146887
5.719029;0.0151515;0.46;0.0151515;0.03146887
5.817515;0.0155178;0.48;0.0155178;0.03146887
5.927452;0.0158841;0.5;0.0158841;0.03146887
6.035099;0.0161838;0.52;0.0161838;0.03146887
6.115262;0.0165168;0.54;0.0165168;0.03146887
6.216038;0.0167832;0.56;0.0167832;0.03146887
6.300781;0.0171162;0.58;0.0171162;0.03146887
6.332845;0.0174492;0.6;0.0174492;0.03146887
6.328265;0.0177489;0.62;0.0177489;0.03146887
6.364911;0.0180486;0.64;0.0180486;0.03146887
6.470267;0.0183816;0.66;0.0183816;0.03146887
6.516074;0.018648;0.68;0.018648;0.03146887
6.555010;0.0189144;0.7;0.0189144;0.03146887
6.644335;0.0192474;0.72;0.0192474;0.03146887
6.722207;0.0195804;0.74;0.0195804;0.03146887
6.758852;0.0198801;0.76;0.0198801;0.03146887
6.741675;0.0201465;0.78;0.0201465;0.03146887
6.771450;0.0203796;0.8;0.0203796;0.03146887
6.797789;0.0205794;0.82;0.0205794;0.03146887
6.896275;0.0208458;0.84;0.0208458;0.03146887
6.946662;0.0211122;0.86;0.0211122;0.03146887
6.932920;0.0213786;0.88;0.0213786;0.03146887
6.976437;0.0216783;0.9;0.0216783;0.03146887
7.061180;0.021978;0.92;0.021978;0.03146887
7.102407;0.0222444;0.94;0.0222444;0.03146887
7.096681;0.0225774;0.96;0.0225774;0.03146887
7.136762;0.0229437;0.98;0.0229437;0.03146887
7.244409;0.02331;1;0.02331;0.03146887
7.340604;0.023643;1.02;0.023643;0.03146887
7.397863;0.0240093;1.04;0.0240093;0.03146887
7.457412;0.0244089;1.06;0.0244089;0.03146887
7.553608;0.0247752;1.08;0.0247752;0.03146887
7.624609;0.0251415;1.1;0.0251415;0.03146887
7.684158;0.0256077;1.12;0.0256077;0.03146887
7.780353;0.0260739;1.14;0.0260739;0.03146887
7.865096;0.0265401;1.16;0.0265401;0.03146887
7.963582;0.0270729;1.18;0.0270729;0.03146887
8.089552;0.0275391;1.2;0.0275391;0.03146887
8.181167;0.0280053;1.22;0.0280053;0.03146887
8.272780;0.0284049;1.24;0.0284049;0.03146887
8.378138;0.0288378;1.26;0.0288378;0.03146887
8.494946;0.0291708;1.28;0.0291708;0.03146887
8.618626;0.0295371;1.3;0.0295371;0.03146887
8.687336;0.0298701;1.32;0.0298701;0.03146887
8.723982;0.0302031;1.34;0.0302031;0.03146887
8.776659;0.0305361;1.36;0.0305361;0.03146887
8.827047;0.0309024;1.38;0.0309024;0.03146887
8.859113;0.0312687;1.4;0.0312687;0.03146887
8.862548;0.0316017;1.42;0.0316017;0.03146887
8.959888;0.031968;1.44;0.031968;0.03146887
9.019438;0.0323343;1.46;0.0323343;0.03146887
9.067535;0.0326673;1.48;0.0326673;0.03146887
9.117924;0.0330003;1.5;0.0330003;0.03146887
9.179763;0.0333333;1.52;0.0333333;0.03146887
