Force ,Length,Time,Position,Small Length
17.34261,0.0513153,0,0.0513153,0.03146887
17.88771,0.0544455,0.02,0.0544455,0.03146887
18.50153,0.05754239,0.04,0.05754239,0.03146887
19.13367,0.06087239,0.06,0.06087239,0.03146887
19.82994,0.0644355,0.08,0.0644355,0.03146887
20.5033,0.0680652,0.1,0.0680652,0.03146887
21.20873,0.07179479,0.12,0.07179479,0.03146887
21.93249,0.0757242,0.14,0.0757242,0.03146887
22.63334,0.07991999,0.16,0.07991999,0.03146887
23.33419,0.0842157,0.18,0.0842157,0.03146887
24.10833,0.0886779,0.2,0.0886779,0.03146887
24.92828,0.09323999,0.22,0.09323999,0.03146887
25.67952,0.0975024,0.24,0.0975024,0.03146887
26.37579,0.1014318,0.26,0.1014318,0.03146887
27.02625,0.1050948,0.28,0.1050948,0.03146887
27.58051,0.1083582,0.3,0.1083582,0.03146887
28.08439,0.1112886,0.32,0.1112886,0.03146887
28.46918,0.1140192,0.34,0.1140192,0.03146887
28.72112,0.1165833,0.36,0.1165833,0.03146887
28.95015,0.1190475,0.38,0.1190475,0.03146887
29.17003,0.1214118,0.4,0.1214118,0.03146887
29.4128,0.1236429,0.42,0.1236429,0.03146887
29.57771,0.1258407,0.44,0.1258407,0.03146887
29.64871,0.1281717,0.46,0.1281717,0.03146887
29.92585,0.1307691,0.48,0.1307691,0.03146887
30.15488,0.133533,0.5,0.133533,0.03146887
30.36559,0.13653,0.52,0.13653,0.03146887
30.64044,0.1396269,0.54,0.1396269,0.03146887
31.03438,0.1429236,0.56,0.1429236,0.03146887
31.48787,0.14652,0.58,0.14652,0.03146887
31.89556,0.1502163,0.6,0.1502163,0.03146887
32.41317,0.1539459,0.62,0.1539459,0.03146887
32.96286,0.1577421,0.64,0.1577421,0.03146887
33.38429,0.161505,0.66,0.161505,0.03146887
33.82404,0.1653678,0.68,0.1653678,0.03146887
34.32792,0.1693638,0.7,0.1693638,0.03146887
34.79057,0.1735263,0.72,0.1735263,0.03146887
35.24864,0.1776888,0.74,0.1776888,0.03146887
35.68381,0.1820844,0.76,0.1820844,0.03146887
36.16021,0.1868463,0.78,0.1868463,0.03146887
36.68241,0.1914084,0.8,0.1914084,0.03146887
37.32371,0.1954044,0.82,0.1954044,0.03146887
37.84133,0.1989009,0.84,0.1989009,0.03146887
38.14366,0.2021643,0.86,0.2021643,0.03146887
38.20779,0.2050947,0.88,0.2050947,0.03146887
38.2765,0.2077587,0.9,0.2077587,0.03146887
38.30627,0.2102895,0.92,0.2102895,0.03146887
38.30399,0.2128869,0.94,0.2128869,0.03146887
38.29367,0.2156841,0.96,0.2156841,0.03146887
38.20779,0.2185479,0.98,0.2185479,0.03146887
38.25188,0.2214783,1,0.2214783,0.03146887
38.29253,0.2245419,1.02,0.2245419,0.03146887
38.40476,0.2279052,1.04,0.2279052,0.03146887
38.62463,0.2315682,1.06,0.2315682,0.03146887
38.88115,0.2352312,1.08,0.2352312,0.03146887
39.2247,0.2388609,1.1,0.2388609,0.03146887
39.51787,0.242757,1.12,0.242757,0.03146887
39.84769,0.2466198,1.14,0.2466198,0.03146887
40.12252,0.2506158,1.16,0.2506158,0.03146887
40.46608,0.2547117,1.18,0.2547117,0.03146887
40.78673,0.2588742,1.2,0.2588742,0.03146887
41.16235,0.2630034,1.22,0.2630034,0.03146887
41.55629,0.2669661,1.24,0.2669661,0.03146887
41.84946,0.2708622,1.26,0.2708622,0.03146887
42.08307,0.2745252,1.28,0.2745252,0.03146887
42.31669,0.2778219,1.3,0.2778219,0.03146887
42.49992,0.2808189,1.32,0.2808189,0.03146887
42.53199,0.2837826,1.34,0.2837826,0.03146887
42.5526,0.2866131,1.36,0.2866131,0.03146887
42.5297,0.2892438,1.38,0.2892438,0.03146887
42.53657,0.2916747,1.4,0.2916747,0.03146887
42.51595,0.2940723,1.42,0.2940723,0.03146887
42.43579,0.2966697,1.44,0.2966697,0.03146887
42.36937,0.2994003,1.46,0.2994003,0.03146887
42.32357,0.3021642,1.48,0.3021642,0.03146887
42.34074,0.3051279,1.5,0.3051279,0.03146887
42.34418,0.3082248,1.52,0.3082248,0.03146887
42.47243,0.3115881,1.54,0.3115881,0.03146887
42.79767,0.3151179,1.56,0.3151179,0.03146887
43.11832,0.3186144,1.58,0.3186144,0.03146887
43.41607,0.3221442,1.6,0.3221442,0.03146887
43.69549,0.3258738,1.62,0.3258738,0.03146887
43.97033,0.3297033,1.64,0.3297033,0.03146887
44.21769,0.3336327,1.66,0.3336327,0.03146887
44.56583,0.3377619,1.68,0.3377619,0.03146887
44.87273,0.3420576,1.7,0.3420576,0.03146887
45.20255,0.3462867,1.72,0.3462867,0.03146887
45.58274,0.3502827,1.74,0.3502827,0.03146887
45.86675,0.3542121,1.76,0.3542121,0.03146887
46.17366,0.357975,1.78,0.357975,0.03146887
46.40728,0.3614049,1.8,0.3614049,0.03146887
46.58134,0.3645018,1.82,0.3645018,0.03146887
46.63631,0.3674322,1.84,0.3674322,0.03146887
46.69586,0.3700629,1.86,0.3700629,0.03146887
46.65807,0.3725271,1.88,0.3725271,0.03146887
46.65922,0.3747915,1.9,0.3747915,0.03146887
46.55614,0.3771225,1.92,0.3771225,0.03146887
46.52179,0.3796866,1.94,0.3796866,0.03146887
46.45537,0.3824838,1.96,0.3824838,0.03146887
46.39353,0.3853476,1.98,0.3853476,0.03146887
46.43476,0.3883779,2,0.3883779,0.03146887
46.51034,0.3914082,2.02,0.3914082,0.03146887
46.74625,0.3946383,2.04,0.3946383,0.03146887
46.8058,0.3982014,2.06,0.3982014,0.03146887
47.05774,0.4018977,2.08,0.4018977,0.03146887
47.41045,0.4056273,2.1,0.4056273,0.03146887
47.73568,0.4095234,2.12,0.4095234,0.03146887
48.04717,0.4134195,2.14,0.4134195,0.03146887
48.37698,0.4174155,2.16,0.4174155,0.03146887
48.7297,0.4216779,2.18,0.4216779,0.03146887
49.05493,0.4261401,2.2,0.4261401,0.03146887
49.3939,0.4305024,2.22,0.4305024,0.03146887
49.80159,0.4346316,2.24,0.4346316,0.03146887
50.16347,0.438561,2.26,0.438561,0.03146887
50.50244,0.4421574,2.28,0.4421574,0.03146887
50.76812,0.4451877,2.3,0.4451877,0.03146887
50.82539,0.4480515,2.32,0.4480515,0.03146887
50.88722,0.450882,2.34,0.450882,0.03146887
50.83455,0.4535127,2.36,0.4535127,0.03146887
50.75667,0.4559436,2.38,0.4559436,0.03146887
50.69483,0.4583079,2.4,0.4583079,0.03146887
50.64673,0.4607721,2.42,0.4607721,0.03146887
50.5597,0.4634694,2.44,0.4634694,0.03146887
50.45892,0.4662666,2.46,0.4662666,0.03146887
50.41082,0.469197,2.48,0.469197,0.03146887
50.45434,0.4722273,2.5,0.4722273,0.03146887
50.55283,0.4753575,2.52,0.4753575,0.03146887
50.66735,0.478754,2.54,0.478754,0.03146887
50.97884,0.4823171,2.56,0.4823171,0.03146887
51.20329,0.4859802,2.58,0.4859802,0.03146887
51.48272,0.4898097,2.6,0.4898097,0.03146887
51.78046,0.4938056,2.62,0.4938056,0.03146887
52.08279,0.497835,2.64,0.497835,0.03146887
52.40344,0.5019642,2.66,0.5019642,0.03146887
52.80196,0.5062266,2.68,0.5062266,0.03146887
53.19132,0.5105889,2.7,0.5105889,0.03146887
53.54404,0.5148513,2.72,0.5148513,0.03146887
53.9334,0.5188805,2.74,0.5188805,0.03146887
54.22198,0.5226768,2.76,0.5226768,0.03146887
54.46935,0.52614,2.78,0.52614,0.03146887
54.71212,0.5291703,2.8,0.5291703,0.03146887
54.77396,0.5320008,2.82,0.5320008,0.03146887
54.81061,0.5348313,2.84,0.5348313,0.03146887
54.75793,0.5374953,2.86,0.5374953,0.03146887
54.67318,0.5399595,2.88,0.5399595,0.03146887
54.5999,0.5422904,2.9,0.5422904,0.03146887
54.51057,0.5447547,2.92,0.5447547,0.03146887
54.41438,0.547452,2.94,0.547452,0.03146887
54.28612,0.5503158,2.96,0.5503158,0.03146887
54.20595,0.5532462,2.98,0.5532462,0.03146887
54.27581,0.5562099,3,0.5562099,0.03146887
54.39147,0.5593734,3.02,0.5593734,0.03146887
54.50828,0.5628366,3.04,0.5628366,0.03146887
54.74419,0.5663664,3.06,0.5663664,0.03146887
55.05568,0.5699295,3.08,0.5699295,0.03146887
55.34426,0.5736257,3.1,0.5736257,0.03146887
55.59162,0.5774553,3.12,0.5774553,0.03146887
55.92601,0.5813181,3.14,0.5813181,0.03146887
56.20086,0.5853141,3.16,0.5853141,0.03146887
56.51693,0.5893767,3.18,0.5893767,0.03146887
56.833,0.5935725,3.2,0.5935725,0.03146887
57.14906,0.5976351,3.22,0.5976351,0.03146887
57.42849,0.6015311,3.24,0.6015311,0.03146887
57.71708,0.605294,3.26,0.605294,0.03146887
57.92321,0.608724,3.28,0.608724,0.03146887
57.97818,0.6118209,3.3,0.6118209,0.03146887
55.62827,0.6152174,3.32,0.6152174,0.03146887
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
