#Creator: Ibrahim M. Alarifi
#Date: 2018-07-20 02:25
#Origin: https://doi.org/10.6084/m9.figshare.6843638.v2
#Material: Carbon fiber pre-impregnated composite polyacrylonitrile
#Editor: Sparisoma Viridi
#Delimiter: comma
#Column: Strain,Stress
#Type: float,float
#Unit: mm/mm,MPa
Strain,Stress
1.873,155.375
1.883,156.245
1.899,157.121
1.909,158.057
1.924,158.826
1.939,159.714
1.950,160.603
1.965,161.556
1.980,162.481
1.990,163.494
2.006,164.329
2.016,165.218
2.031,166.159
2.046,165.386
2.057,166.861
2.072,168.07
2.082,169.023
2.097,169.982
2.113,170.925
2.123,171.865
2.138,172.854
2.153,173.832
2.163,174.84
2.179,175.789
2.194,176.829
2.204,177.766
2.219,178.764
2.230,179.694
2.245,180.669
2.260,181.58
2.270,182.523
2.286,183.512
2.296,184.574
2.311,185.451
2.326,186.429
2.337,187.366
2.352,188.31
2.367,189.253
2.377,190.131
2.393,191.118
2.403,192.093
2.418,192.993
2.433,193.957
2.443,194.928
2.459,195.825
2.474,196.72
2.484,197.62
2.499,198.55
2.515,199.537
2.525,200.448
2.540,200.144
2.550,201.371
2.566,202.645
2.576,203.742
2.591,204.759
2.606,205.753
2.617,206.756
2.632,207.691
2.647,208.675
2.657,209.643
2.673,210.615
2.688,211.603
2.698,212.619
2.713,213.567
2.723,214.528
2.739,215.53
2.754,216.474
2.764,217.459
2.779,218.418
2.790,219.37
2.805,220.359
2.820,221.285
2.830,222.25
2.846,223.189
2.861,224.165
2.871,225.094
2.886,226.051
2.896,227.056
2.912,227.981
2.927,229.032
2.937,229.983
2.952,231.009
2.963,232.083
2.978,233.128
2.993,234.101
3.003,235.093
3.019,236.203
3.034,237.213
3.044,238.276
3.059,239.274
3.075,240.19
3.085,241.144
3.100,242.182
3.110,243.141
3.126,244.142
3.141,245.183
3.151,246.216
3.166,247.267
3.182,248.329
3.192,249.388
3.207,250.339
3.217,251.363
3.232,252.361
3.248,253.363
3.258,254.348
3.273,255.348
3.283,256.378
3.299,257.336
3.314,258.371
3.324,259.359
3.339,260.337
3.355,261.352
3.365,262.318
3.380,263.29
3.395,264.257
3.406,265.238
3.421,266.224
3.431,267.168
3.446,268.079
3.462,268.941
3.472,268.351
3.487,267.674
3.497,269.127
3.512,270.368
3.528,271.436
3.538,272.433
3.553,273.446
3.568,274.447
3.579,275.427
3.594,276.352
3.604,277.308
3.619,278.363
3.635,279.426
3.645,280.458
3.660,281.535
3.675,282.594
3.686,283.657
3.701,284.707
3.716,285.693
3.726,286.733
3.742,287.774
3.752,288.79
3.767,289.809
3.782,290.806
3.792,291.799
3.808,292.823
3.818,293.814
3.833,294.791
3.848,295.811
3.859,296.816
3.874,297.815
3.889,298.852
3.899,299.877
3.915,300.856
3.925,301.869
3.940,302.846
3.955,303.844
3.965,304.879
3.981,305.89
3.991,306.921
4.006,307.992
4.021,309.018
4.032,310.064
4.047,311.096
4.062,312.125
4.072,313.143
4.088,314.205
4.103,315.274
4.113,316.355
4.128,317.4
4.139,318.476
4.154,319.487
4.169,320.464
4.179,321.455
4.195,322.461
4.205,323.503
4.220,324.507
4.235,325.514
4.245,326.523
4.261,327.548
4.276,328.537
4.286,329.539
4.301,330.535
4.312,331.545
4.327,332.51
4.342,333.257
4.352,334.218
4.368,335.017
4.383,335.978
4.393,336.866
4.408,337.748
4.424,338.665
4.434,339.594
4.449,340.473
4.459,341.426
4.475,342.072
4.485,342.865
4.500,342.865
4.500,0
