Stress,Strain
5427499.048,0.002988342
5546161.905,0.003140856
5697106.667,0.003310686
5866375.238,0.003488508
6061819.048,0.00365634
6268605.714,0.003804192
6444855.238,0.003928068
6566135.238,0.00403263
6615868.571,0.004129866
6620668.571,0.004230432
6625902.857,0.004336326
6638118.095,0.004454874
6700502.857,0.004584744
6789499.048,0.004727934
6889840,0.004883112
7016354.286,0.00505161
7170790.476,0.005220774
7341803.81,0.005380614
7504091.429,0.005519808
7640205.714,0.005639022
7721348.571,0.005742918
7734874.286,0.005845482
7754504.762,0.005951376
7770645.714,0.006064596
7827796.19,0.006192468
7886255.238,0.006332328
7983977.143,0.006482178
8106129.524,0.006648012
8237007.619,0.006821838
8391443.81,0.006987672
8551114.286,0.007134858
8678500.952,0.0072594
8764880,0.00736263
8779712.381,0.007457868
8788440,0.007555104
8743940.952,0.00765567
8730853.333,0.007768224
8718638.095,0.007893432
8732379.048,0.008033958
8823339.048,0.008184474
8914954.286,0.008349642
9032744.762,0.00851814
9187180.952,0.008676648
9318929.524,0.008817174
9422760,0.008938386
9472493.333,0.009041616
9476419.048,0.009139518
9471184.762,0.009241416
9429739.048,0.009347976
9426249.524,0.009469188
9438464.762,0.009605052
9490815.238,0.009754902
9573704.762,0.009917406
9693240,0.01009323
9832843.81,0.010260396
9965466.667,0.010414908
10073659.05,0.010548108
10155674.29,0.010658664
10163091.43,0.0107559
10134735.24,0.010854468
10082382.86,0.010959696
10037883.81,0.011073582
10033521.9,0.01120212
10037883.81,0.011343978
10102451.43,0.01149516
10182721.9,0.011662992
10267358.1,0.011837484
10346756.19,0.011998656
10337158.1,0.012143178
10182721.9,0.01226772
9616459.048,0.012379608
4118721.905,0.012488832
