Stress;Strain
5349407.619;0.002258406
5503843.81;0.002376288
5672240;0.002502828
5848489.524;0.00263403
6020375.238;0.002761236
6198369.524;0.002883114
6353676.19;0.002989674
6455761.905;0.003082248
6517710.476;0.003162834
6531670.476;0.003234762
6547811.429;0.003308688
6538215.238;0.003387276
6544540.952;0.003470526
6546939.048;0.003558438
6600600;0.003655008
6660803.81;0.003758238
6735840;0.003870126
6819601.905;0.003984678
6915579.048;0.004108554
7029005.714;0.00423909
7152030.476;0.004366962
7264586.667;0.004486842
7360563.81;0.004597398
7431238.095;0.0046953
7444761.905;0.004783212
7456975.238;0.004860468
7445415.238;0.004933728
7422074.286;0.005009652
7374523.81;0.005087574
7366670.476;0.005170824
7360563.81;0.005260068
7393718.095;0.005357304
7441706.667;0.005459868
7516744.762;0.005569758
7585672.381;0.005682978
7662453.333;0.005804856
7760177.143;0.00593073
7870984.762;0.006052608
7974815.238;0.006171822
8055960;0.006279714
8117908.571;0.006376284
8125325.714;0.006462198
8124887.619;0.006538788
8107001.905;0.006614712
8063811.429;0.006693966
8055087.619;0.00677655
8044180.952;0.006861798
8051379.048;0.006954372
8086499.048;0.00705294
8136230.476;0.007156836
8187710.476;0.00726606
8253148.571;0.007380612
8332548.571;0.00750582
8435504.762;0.007637688
8540207.619;0.007764894
8617860.952;0.007882776
8703367.619;0.007986006
8749611.429;0.008079246
8744377.143;0.008160498
8727800;0.008235756
8674575.238;0.008310348
8614371.429;0.008387604
8559401.905;0.008467524
8507923.81;0.008553438
8493091.429;0.008649342
8463424.762;0.008749908
8247041.905;0.008856468
7893672.381;0.00896769
7515870.476;0.00908757
6752417.143;0.00921411
5938358.095;0.009342648
4782272.381;0.009465858
2891525.714;0.009582408
