Stress,Strain
1469756.762,0.000347652
1532578.095,0.000365634
1584056.762,0.00038295
1631172.762,0.0003996
1680033.524,0.000416916
1723659.619,0.000434232
1757687.81,0.000450216
1797823.619,0.000464868
1844939.429,0.000480186
1884203.048,0.000495504
1919102.857,0.000510822
1932190.476,0.000528138
1960112.381,0.00054612
2015080,0.000564102
2051725.714,0.00058275
2102331.429,0.000600732
2153811.429,0.000618714
2200927.619,0.000636696
2250660.952,0.00065268
2265493.333,0.000666666
2320462.857,0.00067932
2353617.143,0.000690642
2364960,0.000703296
2384592.381,0.00071595
2405533.333,0.000729936
2430400,0.000744588
2457011.429,0.00075924
2505436.19,0.000775224
2542954.286,0.00079254
2557350.476,0.00080919
2619735.238,0.00082584
2659000,0.000843822
2700007.619,0.00086247
2738398.095,0.000880452
2782897.143,0.000898434
2831758.095,0.000918414
2868403.81,0.000937728
2912900.952,0.00095571
2965253.333,0.000971694
3006260.952,0.000988344
3020657.143,0.001006326
3045960,0.001026972
3092640,0.001047618
3140628.571,0.001069596
3195598.095,0.00109224
3246203.81,0.001114884
3304662.857,0.00113886
3348287.619,0.001161504
3413727.619,0.001182816
3471314.286,0.001204128
3517556.19,0.001223442
3561182.857,0.001242756
3603935.238,0.00126207
3649306.667,0.001282716
3681590.476,0.001304028
3695986.667,0.001326672
3750520,0.001349316
3789782.857,0.001373958
3841260.952,0.0013986
3894483.81,0.001422576
3941601.905,0.001447884
3996569.524,0.001473192
4047175.238,0.001497168
4098653.333,0.001520478
4160601.905,0.00154512
4205100.952,0.001570428
4244363.81,0.001597068
4304567.619,0.001624374
4351683.81,0.001651014
4407525.714,0.001676322
4459003.81,0.001700964
4503502.857,0.00172827
4549746.667,0.001756242
4593371.429,0.001782216
4650958.095,0.001806192
4697201.905,0.00182817
4711598.095,0.001850148
4739954.286,0.00187479
4787070.476,0.001900764
4828080,0.001926072
4869087.619,0.00194805
4913586.667,0.001969362
4953721.905,0.001992006
4987750.476,0.002013318
4999093.333,0.002032632
5023960,0.002050614
5068020.952,0.00206793
5071510.476,0.002083914
5081980.952,0.002098566
5089834.286,0.002113218
5087653.333,0.00212787
5096815.238,0.00214452
5114700.952,0.002161836
5122554.286,0.002179152
5133024.762,0.002196468
5148293.333,0.00221445
5165744.762,0.002232432
5179702.857,0.002250414
5197590.476,0.002267064
5220276.19,0.002282382
5235980.952,0.002297034
5247760,0.002309022
5263030.476,0.002319678
5274807.619,0.002331
5268481.905,0.002343654
5269354.286,0.002356974
5267392.381,0.002371626
5264011.429,0.002386278
5276118.095,0.002402928
5272626.667,0.002418912
5296184.762,0.002436228
5317125.714,0.002453544
5335885.714,0.002471526
5349845.714,0.002489508
5370784.762,0.00250749
5395215.238,0.002524806
5417900.952,0.002541456
5437097.143,0.00256077
5451057.143,0.00258075
5466761.905,0.002599398
5486830.476,0.002618046
5508207.619,0.002636694
5526093.333,0.002655342
5543106.667,0.002674656
5563611.429,0.002694636
5585424.762,0.002715282
5609855.238,0.00273726
5632977.143,0.002761236
5676167.619,0.002786544
5717175.238,0.002813184
5758182.857,0.002837826
5798320,0.00286047
5828857.143,0.002881782
5861140.952,0.002903094
5875100.952,0.002923074
5899531.429,0.00294372
5917417.143,0.002965032
5929196.19,0.002988342
5937921.905,0.003011652
5955373.333,0.003034962
6005979.048,0.003058272
6020811.429,0.003081582
6040007.619,0.003104226
6055276.19,0.003127536
6078834.286,0.003151512
6101083.81,0.003174822
6122895.238,0.003198798
6147325.714,0.00322344
6170447.619,0.00325008
6214510.476,0.003276054
6229342.857,0.003301362
6258573.333,0.003326004
6285184.762,0.003350646
6307870.476,0.003377286
6327064.762,0.003404592
6373308.571,0.003431232
6386396.19,0.003455874
6413007.619,0.003480516
6434820.952,0.003504492
6450961.905,0.003527802
6465794.286,0.00354978
6481064.762,0.003571758
6499386.667,0.003592404
6516401.905,0.003611718
6529053.333,0.003631032
6539087.619,0.00364968
6536032.381,0.003666996
6541704.762,0.003684978
6545630.476,0.00370296
6544977.143,0.003720276
6544540.952,0.003736926
6542360,0.003754242
6542249.524,0.003770226
6541377.143,0.00378621
6534723.81,0.00380286
6530580.952,0.003820176
6528180.952,0.003838158
6525780.952,0.003854808
6524472.381,0.003872124
6528070.476,0.00388944
6527308.571,0.003908754
6526763.81,0.003927402
6526980.952,0.003944718
6528725.714,0.003960702
6535598.095,0.00397602
6540396.19,0.00398934
6546502.857,0.004001328
6548466.667,0.004013316
6545630.476,0.004024638
6526000,0.004036626
6512910.476,0.004050612
6502005.714,0.00406593
6505712.381,0.00408258
6497424.762,0.00409923
6492843.81,0.004117212
6494369.524,0.00413586
6509857.143,0.004155174
6522072.381,0.004173822
6534723.81,0.00419247
6546502.857,0.004211784
6558281.905,0.004231098
6567007.619,0.004247748
6581840,0.004264398
6599291.429,0.004281048
6605398.095,0.004297698
6600600,0.004315014
6600163.81,0.004334994
6600163.81,0.004356972
6611942.857,0.004379616
6625466.667,0.004402926
6644662.857,0.00442557
6688287.619,0.004447548
6723188.571,0.004469526
6738020.952,0.004492836
6761142.857,0.00451548
6780775.238,0.004537458
6803897.143,0.004557438
6826146.667,0.004574754
6843596.19,0.004593402
6855811.429,0.004614714
6861918.095,0.004636692
6860173.333,0.00465867
6869335.238,0.004682646
6895946.667,0.004707288
6917760,0.004731264
6941754.286,0.004754574
6963131.429,0.004779882
6980580.952,0.00480519
7001958.095,0.004830498
7029878.095,0.00485514
7056489.524,0.004879116
7084411.429,0.004904424
7111895.238,0.004930398
7136325.714,0.004955706
7158575.238,0.004980348
7177333.333,0.00500499
7199146.667,0.00503163
7220523.81,0.005060268
7234483.81,0.005086242
7277238.095,0.005110884
7291198.095,0.005133528
7309956.19,0.005156172
7319554.286,0.005178816
7328278.095,0.005202792
7326752.381,0.005226768
7334605.714,0.005250078
7354891.429,0.00527139
7369725.714,0.00529137
7382811.429,0.005312016
7392409.524,0.005331996
7398954.286,0.005351976
7396773.333,0.005372622
7401135.238,0.005392602
7405280,0.00541125
7407678.095,0.005426568
7410733.333,0.00544122
7403971.429,0.005455872
7383685.714,0.00547119
7370160,0.00548784
7360125.714,0.005503824
7351401.905,0.00552114
7342676.19,0.005539788
7332641.905,0.005558436
7335914.286,0.005578416
7332641.905,0.005598396
7333297.143,0.005617044
7349657.143,0.00563436
7361000,0.005650344
7354019.048,0.00566433
7355763.81,0.005678316
7352274.286,0.00569097
7332641.905,0.005702958
7312575.238,0.005716278
7299923.81,0.005730264
7288580.952,0.005746248
7278110.476,0.005762232
7281382.857,0.005778216
7275491.429,0.005795532
7271565.714,0.005812848
7272874.286,0.005830164
7278327.619,0.005848146
7277674.286,0.005866794
7288361.905,0.005884776
7304721.905,0.005902758
7317373.333,0.005921406
7334388.571,0.005940054
7341367.619,0.005958702
7340276.19,0.00597735
7348565.714,0.00599733
7364925.714,0.006019974
7374085.714,0.006043284
7384992.381,0.006064596
7403316.19,0.00608724
7425129.524,0.00611055
7448251.429,0.006135858
7470937.143,0.006161166
7497112.381,0.006185142
7525032.381,0.006206454
7575638.095,0.0062271
7586108.571,0.00624708
7600506.667,0.00626706
7610102.857,0.00628704
7619264.762,0.006308352
7615773.333,0.006330996
7621881.905,0.00635364
7637586.667,0.00637695
7649367.619,0.006400926
7655474.286,0.006424902
7655910.476,0.00645021
7672051.429,0.006475518
7684702.857,0.006500826
7693428.571,0.006526134
7701281.905,0.006551442
7711750.476,0.006578082
7708260.952,0.006606054
7708260.952,0.00663336
7681649.524,0.006661332
7614030.476,0.006691968
7518925.714,0.006721272
7307775.238,0.00674658
6714462.857,0.006778548
