Stress;Strain
5162253.333;0.00151182
5379510.476;0.00161838
5587169.524;0.001732932
5796573.333;0.001860804
6032154.286;0.002003994
6294782.857;0.002157174
6591438.095;0.002325672
6925613.333;0.0024975
7263278.095;0.002658672
7590472.381;0.002801862
7893234.286;0.002922408
8123580.952;0.003024972
8274525.714;0.003124206
8386207.619;0.003227436
8491782.857;0.003337326
8592121.905;0.003460536
8709040;0.003597732
8872200;0.003746916
9053685.714;0.003907422
9259598.095;0.004080582
9496923.81;0.004247748
9712436.19;0.004403592
9900899.048;0.00453879
10063188.57;0.00464868
10149567.62;0.00474858
10163091.43;0.004849146
10173561.9;0.004955706
10167017.14;0.005069592
10179451.43;0.005200128
10256887.62;0.005345982
10357226.67;0.005501826
10481123.81;0.005673654
10646030.48;0.005845482
10820533.33;0.00600399
10981076.19;0.006141852
11104102.86;0.006258402
11166923.81;0.006358302
11162560;0.006457536
11120680;0.006560766
11077925.71;0.006669324
11064401.9;0.006791868
11054803.81;0.006928398
11121552.38;0.007077582
11215784.76;0.007238754
11328339.05;0.007411914
11474921.9;0.007577748
11638956.19;0.007729596
11781177.14;0.007860798
11880641.9;0.007967358
11885005.71;0.008064594
11846615.24;0.008165826
11788156.19;0.008273718
11733188.57;0.008390268
11719228.57;0.008520138
11711375.24;0.008663328
11773323.81;0.008815842
11837017.14;0.008985006
11908563.81;0.009156834
11984472.38;0.009319338
11389415.24;0.009471852
