Stress;Strain
1550028.571;0.000338994
1594526.857;0.000354978
1639025.143;0.000370296
1683523.429;0.000384948
1728021.714;0.000398934
1772520;0.000413586
1817018.286;0.000428238
1861516.571;0.00044289
1906014.857;0.000458874
1950513.143;0.000474858
1995011.429;0.000490176
2039509.714;0.000506826
2084008;0.00052281
2128506.286;0.000540792
2173004.571;0.000558108
2217502.857;0.000575424
2262001.143;0.000592074
2306499.429;0.000607392
2350997.714;0.000621378
2395496;0.000635364
2439994.286;0.000648684
2484492.571;0.00066267
2528990.857;0.00067599
2573489.143;0.00068931
2617987.429;0.000703962
2662485.714;0.000718614
2706984;0.000733266
2751482.286;0.000749916
2795980.571;0.000767232
2840478.857;0.000785214
2884977.143;0.00080253
2929475.429;0.000819846
2973973.714;0.000837828
3018472;0.000854478
3062970.286;0.000869796
3107468.571;0.00088578
3151966.857;0.00090243
3196465.143;0.000920412
3240963.429;0.000940392
3285461.714;0.00095904
3329960;0.000979686
3374458.286;0.00100233
3418956.571;0.001026306
3463454.857;0.001049616
3507953.143;0.001072926
3552451.429;0.001096236
3596949.714;0.001119546
3641448;0.001141524
3685946.286;0.001163502
3730444.571;0.001184814
3774942.857;0.001204128
3819441.143;0.001224774
3863939.429;0.001244754
3908437.714;0.001266066
3952936;0.001290042
3997434.286;0.001313352
4041932.571;0.001337994
4086430.857;0.00136197
4130929.143;0.001387278
4175427.429;0.001413918
4219925.714;0.001439892
4264424;0.0014652
4308922.286;0.00149184
4353420.571;0.001516482
4397918.857;0.001541124
4442417.143;0.001565766
4486915.429;0.001592406
4531413.714;0.001619712
4575912;0.001647684
4620410.286;0.001677654
4664908.571;0.001706292
4709406.857;0.0017316
4753905.143;0.001754244
4798403.429;0.001776222
4842901.714;0.001796202
4887400;0.00181818
4931898.286;0.00184149
4976396.571;0.0018648
5020894.857;0.00188811
5065393.143;0.001912086
5109891.429;0.001934064
5154389.714;0.00195471
5198888;0.001974024
5243386.286;0.00199134
5287884.571;0.002005992
5332382.857;0.002019978
5376881.143;0.002035296
5421379.429;0.002049948
5465877.714;0.002066598
5510376;0.002082582
5554874.286;0.002098566
5599372.571;0.002113884
5643870.857;0.002130534
5688369.143;0.002147184
5732867.429;0.002163834
5777365.714;0.002181816
5821864;0.002200464
5866362.286;0.002219112
5910860.571;0.002235096
5955358.857;0.002250414
5999857.143;0.002265066
6044355.429;0.002279052
6088853.714;0.002291706
6133352;0.002305026
6177850.286;0.002319012
6222348.571;0.002331666
6266846.857;0.002344986
6311345.143;0.002358972
6355843.429;0.00237429
6400341.714;0.002391606
6444840;0.002409588
6489338.286;0.002428236
6533836.571;0.002446218
6578334.857;0.002464866
6622833.143;0.002482848
6667331.429;0.00250083
6711829.714;0.002519478
6756328;0.002536794
6800826.286;0.002556108
6845324.571;0.002576754
6889822.857;0.002598066
6934321.143;0.002618712
6978819.429;0.00264069
7023317.714;0.002662668
7067816;0.002684646
7112314.286;0.002706624
7156812.571;0.0027306
7201310.857;0.002755242
7245809.143;0.002779218
7290307.429;0.002802528
7334805.714;0.00282384
7379304;0.002843154
7423802.286;0.002861802
7468300.571;0.00288045
7512798.857;0.002901096
7557297.143;0.002923074
7601795.429;0.002945718
7646293.714;0.002969028
7690792;0.00299367
7735290.286;0.003017646
7779788.571;0.003041622
7824286.857;0.00306693
7868785.143;0.003092904
7913283.429;0.003118212
7957781.714;0.003144186
8002280;0.003169494
8046778.286;0.00319347
8091276.571;0.003218778
8135774.857;0.003247416
8180273.143;0.003274722
8224771.429;0.003301362
8269269.714;0.003328002
8313768;0.00335331
8358266.286;0.00337662
8402764.571;0.003397932
8447262.857;0.00341991
8491761.143;0.003441888
8536259.429;0.003463866
8580757.714;0.003487176
8625256;0.00350982
8669754.286;0.003532464
8714252.571;0.003555108
8758750.857;0.00357642
8803249.143;0.003597066
8847747.429;0.003617046
8892245.714;0.003637026
8936744;0.003655008
8981242.286;0.003672324
9025740.571;0.00368964
