Stress,Strain
515658.2857,0.000053946
528746.0952,5.7942E-05
541833.7143,0.00006327
554921.7143,6.8598E-05
568009.5238,0.000073926
581097.3333,7.9254E-05
594185.1429,0.000083916
607272.9524,8.8578E-05
620360.7619,9.657E-05
633448.5714,0.000102564
646536.381,0.00010989
659624.1905,0.000117216
672712,0.000124542
685799.8095,0.000132534
698887.619,0.00013986
711975.4286,0.000147186
725063.2381,0.000154512
738151.0476,0.000162504
751238.8571,0.000168498
764326.6667,0.000174492
777414.4762,0.000180486
790502.2857,0.00018648
803590.0952,0.000192474
816677.9048,0.000197802
829765.7143,0.000202464
842853.5238,0.000207792
855941.3333,0.000213786
869029.1429,0.00021978
882116.9524,0.000225108
895204.7619,0.000231768
908292.5714,0.000238428
921380.381,0.000243756
934468.1905,0.00024975
947556,0.00025641
960643.8095,0.000262404
973731.619,0.000267732
986819.4286,0.000274392
999907.2381,0.000280386
1012995.048,0.00028638
1026082.857,0.000292374
1039170.667,0.000298368
1052258.476,0.000304362
1065346.286,0.000311022
1078434.095,0.00031635
1091521.905,0.000321012
1104609.714,0.00032634
1117697.524,0.000333
1130785.333,0.000340326
1143873.143,0.000346986
1156960.952,0.000352314
1170048.762,0.000357642
1183136.571,0.00036297
1196224.381,0.000368298
1209312.19,0.000373626
1222400,0.000380952
1235487.81,0.000387612
1248575.619,0.000394938
1261663.429,0.000402264
1274751.238,0.00040959
1287839.048,0.00041625
1300926.857,0.00042291
1314014.667,0.000428904
1327102.476,0.00043623
1340190.286,0.000442224
1353278.095,0.000448884
1366365.905,0.000455544
1379453.714,0.000462204
1392541.524,0.000470196
1405629.333,0.000477522
1418717.143,0.000485514
1431804.952,0.00049284
1444892.762,0.0004995
1457980.571,0.000505494
1471068.381,0.00051282
1484156.19,0.000520812
1497244,0.000528804
1510331.81,0.000535464
1523419.619,0.00054279
1536507.429,0.00054945
1549595.238,0.000556776
1562683.048,0.00056277
1575770.857,0.000568764
1588858.667,0.000574092
1601946.476,0.000580086
1615034.286,0.000585414
1628122.095,0.000590742
1641209.905,0.00059607
1654297.714,0.000600732
1667385.524,0.00060606
1680473.333,0.000610722
1693561.143,0.000615384
1706648.952,0.000620046
1719736.762,0.000624708
1732824.571,0.000630036
1745912.381,0.000635364
1759000.19,0.000641358
1772088,0.000646686
1785175.81,0.000652014
1798263.619,0.000658674
1811351.429,0.000666
1824439.238,0.00067266
1837527.048,0.000679986
1850614.857,0.000687978
1863702.667,0.00069597
1876790.476,0.000703962
1889878.286,0.000711954
1902966.095,0.000719946
1916053.905,0.000727272
1929141.714,0.000734598
1942229.524,0.000743256
1955317.333,0.000749916
1968405.143,0.000755244
1981492.952,0.000763236
1994580.762,0.000771228
2007668.571,0.000777222
2020756.381,0.000783882
2033844.19,0.000789876
2046932,0.000797868
2060019.81,0.000805194
2073107.619,0.000813852
2086195.429,0.000821844
2099283.238,0.00082917
2112371.048,0.000835164
2125458.857,0.00084249
2138546.667,0.000848484
2151634.476,0.000854478
2164722.286,0.000861138
2177810.095,0.000868464
2190897.905,0.000875124
2203985.714,0.000881784
2217073.524,0.000889776
2230161.333,0.000896436
2243249.143,0.000906426
2256336.952,0.000916416
2269424.762,0.000923742
2282512.571,0.000931734
2295600.381,0.000939726
2308688.19,0.000947718
2321776,0.000957042
2334863.81,0.000967032
2347951.619,0.000976356
2361039.429,0.000984348
2374127.238,0.000991008
2387215.048,0.000998334
2400302.857,0.001004994
2413390.667,0.001012986
2426478.476,0.001020312
2439566.286,0.001026972
2452654.095,0.001033632
2465741.905,0.001040958
2478829.714,0.001049616
2491917.524,0.001056276
2505005.333,0.001063602
2518093.143,0.001069596
2531180.952,0.001074924
2544268.762,0.001080252
2557356.571,0.001087578
2570444.381,0.001094238
2583532.19,0.00110223
2596620,0.001108224
2609707.81,0.001112886
2622795.619,0.001117548
2635883.429,0.001121544
2648971.238,0.001126872
2662059.048,0.001131534
2675146.857,0.001137528
2688234.667,0.001144188
2701322.476,0.001150848
2714410.286,0.00115884
2727498.095,0.001166832
2740585.905,0.001174824
2753673.714,0.001182816
2766761.524,0.001189476
2779849.333,0.001194138
2792937.143,0.001200132
2806024.952,0.001206126
2819112.762,0.00121212
2832200.571,0.001218114
2845288.381,0.001224774
2858376.19,0.0012321
2871464,0.001238094
2884551.81,0.00124542
2897639.619,0.001253412
2910727.429,0.00126207
2923815.238,0.001270062
2936903.048,0.001279386
2949990.857,0.001288044
2963078.667,0.001296702
2976166.476,0.00130536
2989254.286,0.001314018
3002342.095,0.00132201
3015429.905,0.001330002
3028517.714,0.001336662
3041605.524,0.001344654
3054693.333,0.001352646
3067781.143,0.001359306
3080868.952,0.001366632
3093956.762,0.001373958
3107044.571,0.001380618
3120132.381,0.001387944
3133220.19,0.001395936
3146308,0.001403262
3159395.81,0.001410588
3172483.619,0.001417914
3185571.429,0.00142524
3198659.238,0.001431234
3211747.048,0.00143856
3224834.857,0.00144522
3237922.667,0.001449882
3251010.476,0.001455876
3264098.286,0.001463202
3277186.095,0.001469862
3290273.905,0.001477188
3303361.714,0.001483182
3316449.524,0.001489842
3329537.333,0.001496502
3342625.143,0.001503828
3355712.952,0.00151182
3368800.762,0.001519146
3381888.571,0.001525806
3394976.381,0.0015318
3408064.19,0.001537128
3421152,0.001542456
3434239.81,0.001547784
3447327.619,0.00155511
3460415.429,0.001563102
3473503.238,0.001571094
3486591.048,0.001577088
3499678.857,0.001582416
3512766.667,0.001586412
3525854.476,0.001593072
3538942.286,0.001599066
3552030.095,0.001604394
3565117.905,0.001609722
3578205.714,0.001615716
3591293.524,0.001620378
3604381.333,0.001625706
3617469.143,0.0016317
3630556.952,0.00163836
3643644.762,0.001646352
3656732.571,0.001653678
3669820.381,0.001661004
3682908.19,0.001669662
3695996,0.001676322
3709083.81,0.001682316
3722171.619,0.001687644
3735259.429,0.001693638
3748347.238,0.0016983
3761435.048,0.001703628
3774522.857,0.001708956
3787610.667,0.001714284
3800698.476,0.001719612
3813786.286,0.00172494
3826874.095,0.001732266
3839961.905,0.00173826
3853049.714,0.00174492
3866137.524,0.001752246
3879225.333,0.001760238
3892313.143,0.00176823
3905400.952,0.001775556
3918488.762,0.00178155
3931576.571,0.00178821
3944664.381,0.00179487
3957752.19,0.001802196
3970840,0.001808856
3983927.81,0.001816182
3997015.619,0.001823508
4010103.429,0.001830834
4023191.238,0.001837494
4036279.048,0.00184482
4049366.857,0.001850814
4062454.667,0.001855476
4075542.476,0.001860804
4088630.286,0.001867464
4101718.095,0.001874124
4114805.905,0.001880118
4127893.714,0.001884114
4140981.524,0.001888776
4154069.333,0.00189477
4167157.143,0.001900098
4180244.952,0.001906092
4193332.762,0.00191142
4206420.571,0.001917414
4219508.381,0.001923408
4232596.19,0.001929402
4245684,0.001935396
4258771.81,0.00194139
4271859.619,0.001947384
4284947.429,0.00195471
