Stress,Strain
744257.9048,0.000130536
759527.0476,0.000137196
773923.619,0.000144522
789192.5714,0.000151848
804025.4286,0.000160506
818945.4857,0.000168498
833865.5429,0.000175824
848785.6,0.000183816
863705.6571,0.000191808
878625.7143,0.000199134
893545.7714,0.00020646
908465.8286,0.000214452
923385.8857,0.000221778
938305.9429,0.000229104
953226,0.00023643
968146.0571,0.000243756
983066.1143,0.000250416
997986.1714,0.000255744
1012906.229,0.000261738
1027826.286,0.000267066
1042746.343,0.00027306
1057666.4,0.000278388
1072586.457,0.00028305
1087506.514,0.000288378
1102426.571,0.000293706
1117346.629,0.000301032
1132266.686,0.000307692
1147186.743,0.000315018
1162106.8,0.000322344
1177026.857,0.000330336
1191946.914,0.000335664
1206866.971,0.000341658
1221787.029,0.000348318
1236707.086,0.00035631
1251627.143,0.000362304
1266547.2,0.000368298
1281467.257,0.000374292
1296387.314,0.000381618
1311307.371,0.000388944
1326227.429,0.00039627
1341147.486,0.00040293
1356067.543,0.00040959
1370987.6,0.000416916
1385907.657,0.000423576
1400827.714,0.000430236
1415747.771,0.000437562
1430667.829,0.000444222
1445587.886,0.000451548
1460507.943,0.000458874
1475428,0.0004662
1490348.057,0.000473526
1505268.114,0.000480186
1520188.171,0.00048618
1535108.229,0.000490842
1550028.286,0.000494838
1564948.343,0.0004995
1579868.4,0.000504828
1594788.457,0.000510156
1609708.514,0.000514818
1624628.571,0.00051948
1639548.629,0.000525474
1654468.686,0.0005328
1669388.743,0.000540792
1684308.8,0.000548784
1699228.857,0.000556776
1714148.914,0.000565434
1729068.971,0.000573426
1743989.029,0.000581418
1758909.086,0.000590742
1773829.143,0.0005994
1788749.2,0.000607392
1803669.257,0.000613386
1818589.314,0.000620712
1833509.371,0.000628038
1848429.429,0.000634032
1863349.486,0.000640026
1878269.543,0.00064602
1893189.6,0.000651348
1908109.657,0.00065601
1923029.714,0.000660672
1937949.771,0.000665334
1952869.829,0.000669996
1967789.886,0.000675324
1982709.943,0.000680652
1997630,0.000684648
2012550.057,0.000688644
2027470.114,0.000691974
2042390.171,0.00069597
2057310.229,0.000701964
2072230.286,0.000707958
2087150.343,0.000713952
2102070.4,0.000719946
2116990.457,0.00072594
2131910.514,0.0007326
2146830.571,0.000738594
2161750.629,0.00074592
2176670.686,0.000753912
2191590.743,0.000761238
2206510.8,0.000767898
2221430.857,0.000774558
2236350.914,0.000779886
2251270.971,0.000785214
2266191.029,0.000790542
2281111.086,0.000794538
2296031.143,0.0007992
2310951.2,0.000805194
2325871.257,0.000811188
2340791.314,0.000817182
2355711.371,0.000823176
2370631.429,0.000828504
2385551.486,0.000833832
2400471.543,0.000839826
2415391.6,0.00084582
2430311.657,0.000851148
2445231.714,0.000857142
2460151.771,0.000863802
2475071.829,0.000870462
2489991.886,0.000877122
2504911.943,0.00088578
2519832,0.000894438
2534752.057,0.000903762
2549672.114,0.000911088
2564592.171,0.000917748
2579512.229,0.000924408
2594432.286,0.000930402
2609352.343,0.000937062
2624272.4,0.000945054
2639192.457,0.000953046
2654112.514,0.000959706
2669032.571,0.000967698
2683952.629,0.000975024
2698872.686,0.000981684
2713792.743,0.000987012
2728712.8,0.000991674
2743632.857,0.000997002
2758552.914,0.001002996
2773472.971,0.001008324
2788393.029,0.001013652
2803313.086,0.001018314
2818233.143,0.001023642
2833153.2,0.00102897
2848073.257,0.001034298
2862993.314,0.001039626
2877913.371,0.001044288
2892833.429,0.001050282
2907753.486,0.00105561
2922673.543,0.001061604
2937593.6,0.001067598
2952513.657,0.001072926
2967433.714,0.001078254
2982353.771,0.001084914
2997273.829,0.00109224
3012193.886,0.0010989
3027113.943,0.001104894
3042034,0.00111222
3056954.057,0.001120212
3071874.114,0.001127538
3086794.171,0.001136196
3101714.229,0.00114552
3116634.286,0.001154178
3131554.343,0.00116217
3146474.4,0.001170162
3161394.457,0.001178154
3176314.514,0.001186146
3191234.571,0.00119547
3206154.629,0.001203462
3221074.686,0.001211454
3235994.743,0.001220112
3250914.8,0.001228104
3265834.857,0.00123543
3280754.914,0.001241424
3295674.971,0.001247418
3310595.029,0.001252746
3325515.086,0.001258074
3340435.143,0.001264068
3355355.2,0.001270728
3370275.257,0.001277388
3385195.314,0.001282716
3400115.371,0.00128871
3415035.429,0.001294704
3429955.486,0.00130203
3444875.543,0.001308024
3459795.6,0.00131535
3474715.657,0.001323342
3489635.714,0.001330668
3504555.771,0.001339326
3519475.829,0.001347318
3534395.886,0.001355976
3549315.943,0.001362636
3564236,0.001369296
3579156.057,0.00137529
3594076.114,0.00138195
3608996.171,0.00138861
3623916.229,0.00139527
3638836.286,0.00140193
3653756.343,0.001410588
3668676.4,0.001419246
3683596.457,0.001427238
3698516.514,0.001435896
3713436.571,0.001444554
3728356.629,0.001452546
3743276.686,0.001461204
3758196.743,0.001470528
3773116.8,0.001480518
3788036.857,0.001489176
3802956.914,0.001496502
3817876.971,0.001503162
3832797.029,0.001511154
3847717.086,0.00151848
3862637.143,0.001524474
3877557.2,0.0015318
3892477.257,0.00153846
3907397.314,0.00154512
3922317.371,0.001549782
3937237.429,0.001553778
3952157.486,0.001559106
3967077.543,0.001565766
3981997.6,0.001571094
3996917.657,0.001576422
4011837.714,0.001582416
4026757.771,0.001587744
4041677.829,0.001593072
4056597.886,0.001599066
4071517.943,0.00160506
4086438,0.001610388
4101358.057,0.001616382
4116278.114,0.001623042
4131198.171,0.001629036
4146118.229,0.001635696
4161038.286,0.001642356
4175958.343,0.001649682
4190878.4,0.001657008
4205798.457,0.001665
4220718.514,0.001672992
4235638.571,0.001680984
4250558.629,0.001688976
4265478.686,0.001697634
4280398.743,0.001706292
4295318.8,0.001715616
4310238.857,0.001724274
4325158.914,0.001732266
4340078.971,0.001739592
4354999.029,0.001746918
4369919.086,0.001755576
4384839.143,0.001763568
4399759.2,0.001770894
4414679.257,0.001776888
4429599.314,0.001782882
4444519.371,0.00178821
4459439.429,0.00179487
4474359.486,0.001800198
4489279.543,0.001806192
4504199.6,0.001812186
4519119.657,0.001818846
4534039.714,0.00182484
4548959.771,0.001830834
4563879.829,0.00183816
4578799.886,0.001844154
4593719.943,0.001852146
4608640,0.001859472
4623560.057,0.001866798
4638480.114,0.001873458
4653400.171,0.001878786
4668320.229,0.00188478
4683240.286,0.001892106
4698160.343,0.001899432
4713080.4,0.001905426
4728000.457,0.001912752
4742920.514,0.001920744
4757840.571,0.00192807
4772760.629,0.001936728
4787680.686,0.001943388
4802600.743,0.001950048
4817520.8,0.00195804
4832440.857,0.001966032
4847360.914,0.001974024
4862280.971,0.00198135
4877201.029,0.001988676
4892121.086,0.001995336
4907041.143,0.002003328
4921961.2,0.002009988
4936881.257,0.002015982
4951801.314,0.002021976
4966721.371,0.00202797
4981641.429,0.002033298
4996561.486,0.00203796
5011481.543,0.002045286
5026401.6,0.002052612
5041321.657,0.002059938
5056241.714,0.00206793
5071161.771,0.002075922
5086081.829,0.002083248
5101001.886,0.002090574
5115921.943,0.002095236
5130842,0.00210123
5145762.057,0.002105892
5160682.114,0.002109888
5175602.171,0.00211455
5190522.229,0.002120544
5205442.286,0.002125872
5220362.343,0.002132532
5235282.4,0.002139192
5250202.457,0.00214452
5265122.514,0.002149848
5280042.571,0.002156508
5294962.629,0.002161836
5309882.686,0.002165832
5324802.743,0.002169162
5339722.8,0.002175156
5354642.857,0.00218115
5369562.914,0.002188476
5384482.971,0.002196468
5399403.029,0.002203794
5414323.086,0.002213118
5429243.143,0.002222442
5444163.2,0.0022311
5459083.257,0.002240424
5474003.314,0.002249748
5488923.371,0.002257074
5503843.429,0.002262402
5518763.486,0.00226773
5533683.543,0.002272392
5548603.6,0.002278386
5563523.657,0.002285046
5578443.714,0.00229104
5593363.771,0.002295702
5608283.829,0.002301696
5623203.886,0.002307024
5638123.943,0.002311686
5653044,0.002315682
5667964.057,0.002320344
5682884.114,0.002326338
5697804.171,0.002331666
5712724.229,0.002338326
5727644.286,0.002344986
5742564.343,0.002352978
5757484.4,0.002360304
5772404.457,0.002366964
5787324.514,0.002372292
5802244.571,0.002378286
5817164.629,0.00238428
5832084.686,0.002390274
5847004.743,0.002396934
5861924.8,0.002402262
5876844.857,0.002408256
5891764.914,0.00241425
5906684.971,0.002419578
5921605.029,0.002426238
5936525.086,0.002431566
5951445.143,0.002436894
5966365.2,0.002442222
5981285.257,0.002448216
5996205.314,0.00245421
6011125.371,0.00246087
6026045.429,0.00246753
6040965.486,0.002472858
6055885.543,0.002478186
6070805.6,0.00248418
6085725.657,0.002490174
6100645.714,0.002495502
6115565.771,0.00250083
6130485.829,0.002506824
6145405.886,0.002512818
6160325.943,0.002520144
6175246,0.00252747
6190166.057,0.00253413
6205086.114,0.00254079
6220006.171,0.002546784
6234926.229,0.00255411
6249846.286,0.002559438
6264766.343,0.002565432
6279686.4,0.002572092
6294606.457,0.002579418
6309526.514,0.002586078
6324446.571,0.002592738
6339366.629,0.002600064
6354286.686,0.002606724
6369206.743,0.00261405
6384126.8,0.002622042
6399046.857,0.002629368
6413966.914,0.002635362
6428886.971,0.002641356
6443807.029,0.00264735
6458727.086,0.002653344
6473647.143,0.002659338
6488567.2,0.002665332
6503487.257,0.002671992
6518407.314,0.00267732
6533327.371,0.002682648
6548247.429,0.00268731
6563167.486,0.002691306
6578087.543,0.002696634
6593007.6,0.002701962
6607927.657,0.00270729
6622847.714,0.002712618
6637767.771,0.002717946
6652687.829,0.002723274
6667607.886,0.002729934
6682527.943,0.002736594
6697448,0.002743254
6712368.057,0.002749248
6727288.114,0.002755242
6742208.171,0.002762568
6757128.229,0.002769894
6772048.286,0.002777886
6786968.343,0.002785212
6801888.4,0.00279387
6816808.457,0.002802528
6831728.514,0.002811186
6846648.571,0.002819178
6861568.629,0.00282717
6876488.686,0.002835828
6891408.743,0.002844486
6906328.8,0.002853144
6921248.857,0.002861136
6936168.914,0.002867796
6951088.971,0.002874456
6966009.029,0.00288045
6980929.086,0.002888442
6995849.143,0.002895102
7010769.2,0.002902428
7025689.257,0.002908422
7040609.314,0.002915082
7055529.371,0.002921742
7070449.429,0.002929068
7085369.486,0.00293706
7100289.543,0.002945718
7115209.6,0.002955042
7130129.657,0.002962368
7145049.714,0.002969694
7159969.771,0.002976354
7174889.829,0.00298368
7189809.886,0.002989674
7204729.943,0.002995002
7219650,0.00300033
7234570.057,0.003008322
7249490.114,0.003015648
7264410.171,0.003022974
7279330.229,0.0030303
7294250.286,0.003035628
7309170.343,0.003040956
7324090.4,0.003048948
7339010.457,0.00305694
7353930.514,0.003065598
7368850.571,0.003074256
7383770.629,0.003082914
7398690.686,0.003092238
7413610.743,0.003100896
7428530.8,0.003108888
7443450.857,0.003115548
7458370.914,0.003122208
7473290.971,0.003130866
7488211.029,0.003139524
7503131.086,0.003148182
7518051.143,0.003156174
7532971.2,0.003164166
7547891.257,0.003170826
7562811.314,0.003177486
7577731.371,0.00318348
7592651.429,0.003189474
7607571.486,0.003196134
7622491.543,0.003202128
7637411.6,0.003208122
7652331.657,0.003214116
7667251.714,0.003218778
7682171.771,0.003224106
7697091.829,0.003229434
7712011.886,0.003234762
7726931.943,0.003240756
7741852,0.003246084
7756772.057,0.003251412
7771692.114,0.00325674
7786612.171,0.0032634
7801532.229,0.003269394
7816452.286,0.003276054
7831372.343,0.003284046
7846292.4,0.003292038
7861212.457,0.00330003
7876132.514,0.003307356
7891052.571,0.003314016
7905972.629,0.003319344
7920892.686,0.003326004
7935812.743,0.003332664
7950732.8,0.00333999
7965652.857,0.003347316
7980572.914,0.003355974
7995492.971,0.003365298
8010413.029,0.003374622
8025333.086,0.00338328
8040253.143,0.003392604
8055173.2,0.003402594
8070093.257,0.003411252
8085013.314,0.003419244
8099933.371,0.003427902
8114853.429,0.00343656
8129773.486,0.003443886
8144693.543,0.003451878
8159613.6,0.003459204
8174533.657,0.003465864
8189453.714,0.00347319
8204373.771,0.00347985
8219293.829,0.00348651
8234213.886,0.003492504
8249133.943,0.003497832
8264054,0.003503826
8278974.057,0.003509154
8293894.114,0.003514482
8308814.171,0.003519144
8323734.229,0.003523806
8338654.286,0.003528468
8353574.343,0.00353313
8368494.4,0.003537792
8383414.457,0.003543786
8398334.514,0.00354978
8413254.571,0.00355644
8428174.629,0.0035631
8443094.686,0.003570426
8458014.743,0.003577752
8472934.8,0.003583746
8487854.857,0.003590406
8502774.914,0.003597732
8517694.971,0.003604392
8532615.029,0.003612384
8547535.086,0.003621042
8562455.143,0.003629034
8577375.2,0.00363636
8592295.257,0.003643686
8607215.314,0.003652344
8622135.371,0.003660336
8637055.429,0.003668328
8651975.486,0.003675654
8666895.543,0.003682314
8681815.6,0.003690306
8696735.657,0.003698298
8711655.714,0.00370629
8726575.771,0.003713616
8741495.829,0.003720942
8756415.886,0.003727602
8771335.943,0.003734262
8786256,0.003740922
8801176.057,0.00374625
8816096.114,0.003751578
8831016.171,0.003758238
8845936.229,0.003764232
8860856.286,0.003770226
8875776.343,0.003776886
8890696.4,0.003783546
8905616.457,0.003790206
8920536.514,0.0037962
8935456.571,0.003800196
8950376.629,0.003803526
8965296.686,0.003808188
8980216.743,0.003814182
8995136.8,0.00381951
9010056.857,0.003824838
9024976.914,0.003830166
9039896.971,0.003836826
9054817.029,0.003842154
9069737.086,0.003848148
9084657.143,0.003853476
9099577.2,0.00385947
9114497.257,0.003864798
9129417.314,0.003870126
9144337.371,0.003876786
9159257.429,0.003884112
9174177.486,0.003890772
9189097.543,0.003898098
9204017.6,0.003904758
9218937.657,0.003911418
9233857.714,0.003918078
9248777.771,0.003924738
9263697.829,0.003931398
9278617.886,0.003937392
9293537.943,0.003944052
9308458,0.003951378
9323378.057,0.003958038
9338298.114,0.003964032
9353218.171,0.003970026
9368138.229,0.00397602
9383058.286,0.00398268
9397978.343,0.003988674
9412898.4,0.003995334
9427818.457,0.004000662
9442738.514,0.004006656
9457658.571,0.004011318
9472578.629,0.004016646
9487498.686,0.004021308
9502418.743,0.00402597
9517338.8,0.004031298
9532258.857,0.004037958
9547178.914,0.004044618
9562098.971,0.004051278
9577019.029,0.004056606
9591939.086,0.0040626
9606859.143,0.004067928
9621779.2,0.004073256
9636699.257,0.00407925
9651619.314,0.004085244
9666539.371,0.004091904
9681459.429,0.004098564
9696379.486,0.004105224
9711299.543,0.004111218
9726219.6,0.004117212
9741139.657,0.004123206
9756059.714,0.0041292
9770979.771,0.004135194
9785899.829,0.00414252
9800819.886,0.004148514
9815739.943,0.004154508
9830660,0.004161168
9845580.057,0.004167162
9860500.114,0.00417249
9875420.171,0.004177818
9890340.229,0.00418581
9905260.286,0.00419247
9920180.343,0.004199796
9935100.4,0.004206456
9950020.457,0.004213116
9964940.514,0.004220442
9979860.571,0.004228434
9994780.629,0.00423576
10009700.69,0.004243752
10024620.74,0.004251078
10039540.8,0.004257072
10054460.86,0.004264398
10069380.91,0.004271724
10084300.97,0.004278384
10099221.03,0.00428571
10114141.09,0.00429237
10129061.14,0.00429903
10143981.2,0.004305024
10158901.26,0.004311018
10173821.31,0.004317012
10188741.37,0.004323006
10203661.43,0.004327668
10218581.49,0.004333662
10233501.54,0.00433899
10248421.6,0.004342986
10263341.66,0.004347648
10278261.71,0.00435231
10293181.77,0.004356972
10308101.83,0.004361634
10323021.89,0.004368294
10337941.94,0.004374288
10352862,0.004380282
10367782.06,0.004384944
10382702.11,0.004390938
10397622.17,0.0043956
10412542.23,0.004400928
10427462.29,0.004406922
10442382.34,0.004414248
10457302.4,0.004421574
10472222.46,0.0044289
10487142.51,0.004436226
10502062.57,0.004443552
10516982.63,0.004450212
10531902.69,0.00445887
10546822.74,0.004468194
10561742.8,0.004477518
10576662.86,0.004486176
10591582.91,0.004493502
10606502.97,0.004501494
10621423.03,0.004509486
10636343.09,0.00451881
10651263.14,0.004527468
10666183.2,0.00453546
10681103.26,0.004544118
10696023.31,0.004551444
10710943.37,0.00455877
10725863.43,0.004566096
10740783.49,0.004572756
10755703.54,0.00457875
10770623.6,0.004586742
10785543.66,0.004594734
10800463.71,0.004602726
10815383.77,0.004610718
10830303.83,0.004617378
10845223.89,0.004623372
10860143.94,0.004630032
10875064,0.004637358
10889984.06,0.004643352
10904904.11,0.004649346
10919824.17,0.004656006
10934744.23,0.004662666
10949664.29,0.004669992
10964584.34,0.004676652
10979504.4,0.004683978
10994424.46,0.004691304
11009344.51,0.004697964
11024264.57,0.004705956
11039184.63,0.004713948
11054104.69,0.00472194
11069024.74,0.004730598
11083944.8,0.004740588
11098864.86,0.004749912
11113784.91,0.004757238
11128704.97,0.004764564
11143625.03,0.004773222
11158545.09,0.004781214
11173465.14,0.004787874
11188385.2,0.004795866
11203305.26,0.004802526
11218225.31,0.004809852
11233145.37,0.004815846
11248065.43,0.004821174
11262985.49,0.004825836
11277905.54,0.00483183
11292825.6,0.004837158
11307745.66,0.004843152
11322665.71,0.004849812
11337585.77,0.00485514
11352505.83,0.004860468
11367425.89,0.004867128
11382345.94,0.004873788
11397266,0.004880448
11412186.06,0.004886442
11427106.11,0.004893768
11442026.17,0.004899762
11456946.23,0.004907088
11471866.29,0.00491508
11486786.34,0.004922406
11501706.4,0.004929066
11516626.46,0.00493506
11531546.51,0.004941054
11546466.57,0.004947714
11561386.63,0.004953708
11576306.69,0.004960368
11591226.74,0.004966362
11606146.8,0.004972356
11621066.86,0.00497835
11635986.91,0.004985676
11650906.97,0.004993668
11665827.03,0.005002326
11680747.09,0.005010984
11695667.14,0.005018976
11710587.2,0.005026302
11725507.26,0.005033628
11740427.31,0.005042286
11755347.37,0.005050278
11770267.43,0.005058936
11785187.49,0.005066262
11800107.54,0.005072922
11815027.6,0.005079582
11829947.66,0.005087574
11844867.71,0.005095566
11859787.77,0.005102892
11874707.83,0.005110218
11889627.89,0.005116878
11904547.94,0.00512487
11919468,0.005132196
11934388.06,0.005139522
11949308.11,0.005146182
11964228.17,0.005152176
11979148.23,0.005159502
11994068.29,0.005166828
12008988.34,0.005172822
12023908.4,0.005178816
12038828.46,0.005184144
12053748.51,0.005190138
12068668.57,0.0051948
12083588.63,0.005200128
12098508.69,0.00520479
12113428.74,0.005210784
12128348.8,0.005216112
12143268.86,0.005222772
12158188.91,0.005229432
12173108.97,0.00523476
12188029.03,0.005240088
12202949.09,0.005246748
12217869.14,0.005254074
12232789.2,0.005262066
12247709.26,0.005270058
12262629.31,0.00527805
12277549.37,0.005285376
12292469.43,0.005292036
12307389.49,0.005299362
12322309.54,0.005307354
12337229.6,0.005315346
12352149.66,0.005322672
12367069.71,0.005329998
12381989.77,0.005336658
12396909.83,0.00534465
12411829.89,0.005351976
12426749.94,0.00535797
12441670,0.005363298
12456590.06,0.005369292
12471510.11,0.005375952
12486430.17,0.005381946
12501350.23,0.005389272
12516270.29,0.005397264
12531190.34,0.005405256
12546110.4,0.005413914
12561030.46,0.005422572
12575950.51,0.005429232
12590870.57,0.005435226
12605790.63,0.005442552
12620710.69,0.005448546
12635630.74,0.00545454
12650550.8,0.005459202
12665470.86,0.005465862
12680390.91,0.005471856
12695310.97,0.005476518
12710231.03,0.005481846
12725151.09,0.005488506
12740071.14,0.005493168
12754991.2,0.005498496
12769911.26,0.005503158
12784831.31,0.00550782
12799751.37,0.005513148
12814671.43,0.005518476
12829591.49,0.005523804
12844511.54,0.005529798
12859431.6,0.005535792
12874351.66,0.005541786
12889271.71,0.005547114
12904191.77,0.005553774
12919111.83,0.005561766
12934031.89,0.005568426
12948951.94,0.005575086
12963872,0.005582412
12978792.06,0.005589738
12993712.11,0.005596398
13008632.17,0.005603724
13023552.23,0.00561105
13038472.29,0.005618376
13053392.34,0.00562437
13068312.4,0.005632362
13083232.46,0.005638356
13098152.51,0.005645682
13113072.57,0.00565101
13127992.63,0.005656338
13142912.69,0.005662332
13157832.74,0.00566766
13172752.8,0.005672322
13187672.86,0.005678316
13202592.91,0.005684976
13217512.97,0.005691636
13232433.03,0.00569763
13247353.09,0.00570429
13262273.14,0.005710284
13277193.2,0.005716278
13292113.26,0.005722938
13307033.31,0.005728266
13321953.37,0.005733594
13336873.43,0.005738922
13351793.49,0.005743584
13366713.54,0.005749578
13381633.6,0.005756238
13396553.66,0.005761566
13411473.71,0.005766894
13426393.77,0.005772222
13441313.83,0.00577755
13456233.89,0.005782878
13471153.94,0.005788206
13486074,0.005792868
13500994.06,0.005798862
13515914.11,0.005805522
13530834.17,0.005812848
13545754.23,0.005819508
13560674.29,0.005825502
13575594.34,0.005831496
13590514.4,0.00583749
13605434.46,0.00584415
13620354.51,0.005851476
13635274.57,0.005858136
13650194.63,0.00586413
13665114.69,0.005871456
13680034.74,0.005879448
13694954.8,0.00588744
13709874.86,0.005896098
13724794.91,0.00590409
13739714.97,0.005912082
13754635.03,0.005919408
13769555.09,0.005926734
13784475.14,0.00593406
13799395.2,0.005941386
13814315.26,0.005948712
13829235.31,0.005955372
13844155.37,0.005962698
13859075.43,0.005968692
13873995.49,0.005975352
13888915.54,0.005981346
13903835.6,0.005986674
13918755.66,0.005991336
13933675.71,0.005995998
13948595.77,0.00600066
13963515.83,0.006005322
13978435.89,0.006009984
13993355.94,0.006014646
14008276,0.006019974
14023196.06,0.006025302
14038116.11,0.006031962
14053036.17,0.006037956
14067956.23,0.00604395
14082876.29,0.006049278
14097796.34,0.00605394
14112716.4,0.006059268
14127636.46,0.00606393
14142556.51,0.006068592
14157476.57,0.00607392
14172396.63,0.006079914
14187316.69,0.006086574
14202236.74,0.006093234
14217156.8,0.006099894
14232076.86,0.006106554
14246996.91,0.006114546
14261916.97,0.006123204
