Stress;Strain
1091083.81;0.1145638
1221089.143;0.12821436
1352839.429;0.14204814
1489824.762;0.1564316
1627682.667;0.17090668
1766412.952;0.18547336
1903398.286;0.19985682
2056961.905;0.215981
2227102.857;0.2338458
2401605.714;0.2521686
2580472.381;0.2709496
2744506.667;0.2881732
2895451.429;0.3040224
3045523.81;0.31978
3203451.429;0.3363624
3383188.571;0.3552348
3560310.476;0.3738326
3733940.952;0.3920638
3910190.476;0.41057
4081203.81;0.4285264
4241746.667;0.4453834
4399672.381;0.4619656
4550619.048;0.477815
4689348.571;0.4923816
4806266.667;0.504658
4910967.619;0.5156516
5000838.095;0.525088
5088089.524;0.5342494
5178830.476;0.5437772
5268700.952;0.5532136
5346354.286;0.5613672
5415283.81;0.5686048
5478104.762;0.575201
5554885.714;0.583263
5636902.857;0.5918748
5720664.762;0.6006698
5813152.381;0.610381
5903020.952;0.6198172
5996380.952;0.62962
6107190.476;0.641255
6219744.762;0.6530732
6334045.714;0.6650748
6439620.952;0.6761602
6537340.952;0.6864208
6649024.762;0.6981476
6763323.81;0.710149
6865409.524;0.720868
6963131.429;0.7311288
7059980.952;0.741298
7159447.619;0.751742
7261531.429;0.7624608
7347040;0.7714392
7421203.81;0.7792264
7494495.238;0.786922
7557316.19;0.7935182
7601813.333;0.7981904
7632352.381;0.801397
7638022.857;0.8019924
7650238.095;0.803275
7668998.095;0.8052448
7694737.143;0.8079474
7715678.095;0.8101462
7728329.524;0.8114746
7737053.333;0.8123906
7771081.905;0.8159636
7783297.143;0.8172462
7802929.524;0.8193076
7844373.333;0.8236592
7880148.571;0.8274156
7932497.143;0.8329122
7996192.381;0.8396002
8056396.19;0.8459216
8121834.286;0.8527926
8164588.571;0.8572818
8201234.286;0.8611296
8254457.143;0.866718
8310299.048;0.8725814
8373992.381;0.8792692
8429834.286;0.8851326
8477822.857;0.8901714
8530173.333;0.8956682
8581651.429;0.9010734
8627022.857;0.9058374
8668904.762;0.910235
8702059.048;0.9137162
8738704.762;0.917564
8742196.19;0.9179306
8745685.714;0.918297
8742196.19;0.9179306
8739579.048;0.9176558
8724744.762;0.9160982
8730198.095;0.9166708
8721036.19;0.9157088
8702497.143;0.9137622
8683737.143;0.9117924
8673266.667;0.910693
8677628.571;0.911151
8674356.19;0.9108074
8676756.19;0.9110594
8692460.952;0.9127084
8709040;0.9144492
8752664.762;0.9190298
8765752.381;0.920404
8836426.667;0.9278248
8874819.048;0.931856
8917571.429;0.936345
8963815.238;0.9412006
8999588.571;0.9449568
9036234.286;0.9488046
9075497.143;0.9529272
9129594.286;0.9586074
9182817.143;0.9641958
9231678.095;0.9693262
9246074.286;0.9708378
9265270.476;0.9728534
9268323.81;0.973174
9223824.762;0.9685016
9155769.524;0.9613558
9063281.905;0.9516446
8957708.571;0.9405594
8757028.571;0.919488
8367885.714;0.878628
7864441.905;0.8257664
6301761.905;0.661685
