Stress,Strain
3138447.619,0.329537
3337380.952,0.350425
3504032.381,0.3679234
3666321.905,0.3849638
3845186.667,0.4037446
4035396.19,0.4237166
4246544.762,0.4458872
4463801.905,0.4686992
4697638.095,0.493252
4939325.714,0.5186292
5207188.571,0.5467548
5470689.524,0.5744224
5712375.238,0.5997994
5933123.81,0.622978
6099775.238,0.6404764
6217563.81,0.6528442
6302198.095,0.6617308
6351931.429,0.6669528
6399920,0.6719916
6454017.143,0.6776718
6500260.952,0.6825274
6566571.429,0.68949
6658184.762,0.6991094
6763760,0.7101948
6872824.762,0.7216466
6993232.381,0.7342894
7106660.952,0.7461994
7234047.619,0.759575
7352710.476,0.7720346
7448687.619,0.7821122
7516744.762,0.7892582
7519798.095,0.7895788
7513253.333,0.7888916
7495365.714,0.7870134
7480533.333,0.785456
7469192.381,0.7842652
7474209.524,0.784792
7474862.857,0.7848606
7541175.238,0.7918234
7623190.476,0.800435
7718295.238,0.810421
7802929.524,0.8193076
7908504.762,0.830393
8014952.381,0.84157
8118780.952,0.852472
8218247.619,0.862916
8294158.095,0.8708866
8343019.048,0.876017
8345636.19,0.8762918
8346072.381,0.8763376
8343672.381,0.8760856
8338874.286,0.8755818
8323822.857,0.8740014
8331565.714,0.8748144
8343453.333,0.8760626
8412819.048,0.883346
8494836.19,0.8919578
8588196.19,0.9017606
8673702.857,0.9107388
8767062.857,0.9205416
8886598.095,0.9330928
8998280,0.9448194
9081169.524,0.9535228
9155333.333,0.96131
9187615.238,0.9646996
9182380.952,0.96415
9173001.905,0.9631652
9157950.476,0.9615848
9130030.476,0.9586532
9114760,0.9570498
9125885.714,0.958218
9144426.667,0.9601648
9216409.524,0.967723
9297554.286,0.9762432
9383060.952,0.9852214
9467693.333,0.9941078
9565417.143,1.0043688
9672735.238,1.0156372
9774820.952,1.0263562
9855091.429,1.0347846
9910933.333,1.040648
9924020.952,1.0420222
9931438.095,1.042801
9920314.286,1.041633
9875160,1.0368918
9861200,1.035426
9850729.524,1.0343266
9860982.857,1.0354032
9880394.286,1.0374414
9954560,1.0452288
10040066.67,1.054207
10120337.14,1.0626354
10216314.29,1.072713
10327996.19,1.0844396
10430081.9,1.0951586
10540891.43,1.1067936
10646466.67,1.117879
10702306.67,1.1237422
10708415.24,1.1243836
10709287.62,1.1244752
10690963.81,1.1225512
10663916.19,1.1197112
10644720,1.1176956
10637740.95,1.1169628
10642102.86,1.1174208
10679622.86,1.1213604
10735462.86,1.1272236
10816607.62,1.1357438
10889026.67,1.1433478
10979767.62,1.1528756
11074872.38,1.1628616
11169104.76,1.172756
11254611.43,1.1817342
11317432.38,1.1883304
11325721.9,1.1892008
11293001.9,1.1857652
11165615.24,1.1723896
10884662.86,1.1428896
10604586.67,1.1134816
10346320,1.0863636
4900060.952,0.5145064
