Stress,Strain
615997.9048,0.000100566
629958.0952,0.00010656
643918.2857,0.000111888
657878.4762,0.000118548
671838.6667,0.000125874
685798.8571,0.000132534
699759.0476,0.00013986
713719.2381,0.00014652
727679.4286,0.000152514
741639.619,0.000159174
755599.8095,0.0001665
769560,0.000174492
783520.1905,0.000182484
797480.381,0.00018981
811440.5714,0.000197136
825400.7619,0.000205128
839360.9524,0.00021312
853321.1429,0.000220446
867281.3333,0.000227106
881241.5238,0.0002331
895201.7143,0.000239094
909161.9048,0.00024309
923122.0952,0.000247086
937082.2857,0.000251748
951042.4762,0.000257076
965002.6667,0.000262404
978962.8571,0.000269064
992923.0476,0.00027639
1006883.238,0.000282384
1020843.429,0.000289044
1034803.619,0.000293706
1048763.81,0.000298368
1062724,0.000303696
1076684.19,0.000309024
1090644.381,0.000314352
1104604.571,0.00031968
1118564.762,0.00032634
1132524.952,0.000333666
1146485.143,0.000340992
1160445.333,0.000346986
1174405.524,0.00035298
1188365.714,0.000360972
1202325.905,0.000370296
1216286.095,0.000378954
1230246.286,0.000387612
1244206.476,0.000396936
1258166.667,0.000403596
1272126.857,0.000410922
1286087.048,0.000418914
1300047.238,0.000424908
1314007.429,0.000430236
1327967.619,0.000436896
1341927.81,0.000442224
1355888,0.000446886
1369848.19,0.000450882
1383808.381,0.000454878
1397768.571,0.00045954
1411728.762,0.000464868
1425688.952,0.000470196
1439649.143,0.000474858
1453609.333,0.000480186
1467569.524,0.000484848
1481529.714,0.000490176
1495489.905,0.000496836
1509450.095,0.00050283
1523410.286,0.000507492
1537370.476,0.00051282
1551330.667,0.000518148
1565290.857,0.000524142
1579251.048,0.000531468
1593211.238,0.000536796
1607171.429,0.000542124
1621131.619,0.000547452
1635091.81,0.000553446
1649052,0.00055944
1663012.19,0.000565434
1676972.381,0.000570762
1690932.571,0.00057609
1704892.762,0.000581418
1718852.952,0.00058608
1732813.143,0.000592074
1746773.333,0.000598734
1760733.524,0.000604728
1774693.714,0.00060939
1788653.905,0.000614052
1802614.095,0.000620046
1816574.286,0.000626706
1830534.476,0.0006327
1844494.667,0.00063936
1858454.857,0.000647352
1872415.048,0.000655344
1886375.238,0.000663336
1900335.429,0.000671994
1914295.619,0.000679986
1928255.81,0.000687312
1942216,0.000693972
1956176.19,0.000700632
1970136.381,0.000707958
1984096.571,0.000715284
1998056.762,0.00072261
2012016.952,0.000729936
2025977.143,0.000737928
