Stress;Strain
3267580.952;0.000950382
3370537.143;0.000984348
3475240;0.00101565
3563363.81;0.001044288
3627929.524;0.001070928
3700348.571;0.001096236
3749209.524;0.001120212
3799817.143;0.001143522
3848678.095;0.001166832
3891430.476;0.001190142
3932440;0.001214784
3966466.667;0.001240092
4008348.571;0.001266732
4060699.048;0.00129204
4115668.571;0.001316016
4164529.524;0.001337994
4209026.667;0.00135864
4257015.238;0.001377288
4302386.667;0.001396602
4317219.048;0.001417914
4341213.333;0.00144189
4388765.714;0.001467864
4431520;0.001494504
4472527.619;0.001523808
4537095.238;0.001553778
4589445.714;0.00158508
4654883.81;0.001614384
4724685.714;0.001643022
4774419.048;0.001674324
4825024.762;0.001710288
4886973.333;0.00174825
4951540.952;0.001788876
5037047.619;0.001832166
5120809.524;0.001876122
5220276.19;0.00191808
5321487.619;0.001960038
5398270.476;0.00200133
5470689.524;0.002045286
5540489.524;0.00209124
5619017.143;0.002135862
5705396.19;0.002181816
5775198.095;0.002226438
5854596.19;0.002270394
5940975.238;0.002316348
6008160;0.002361636
6085813.333;0.002406924
6153870.476;0.00245088
6214074.286;0.002492838
6279512.381;0.002533464
6334481.905;0.002572758
6382470.476;0.00261072
6433948.571;0.002644686
6482809.524;0.002675988
6523819.048;0.002705958
6557845.714;0.002734596
6570060.952;0.002761236
6592746.667;0.00278388
6612815.238;0.002806524
6622413.333;0.002829834
6617177.143;0.002852478
6626556.19;0.002876454
6646405.714;0.002902428
6656003.81;0.0029304
6669965.714;0.00295704
6693523.81;0.002982348
6715771.429;0.003004992
6738457.143;0.003025638
6759398.095;0.003045618
6773358.095;0.00306693
6783392.381;0.003089574
6790371.429;0.00311355
6805641.905;0.003139524
6826146.667;0.003165498
6843596.19;0.003192138
6863664.762;0.003220776
6912087.619;0.003249414
6951352.381;0.003278052
6966184.762;0.00330669
6995415.238;0.003337326
7023771.429;0.00336996
7052563.81;0.003405924
7105788.571;0.003445218
7160756.19;0.00348651
7224449.524;0.003528468
7286400;0.003569094
7355327.619;0.00360972
7414659.048;0.003651012
7470499.048;0.003694302
7513253.333;0.003738924
7561241.905;0.003785544
7619700.952;0.00383283
7669434.286;0.003880116
7732255.238;0.003928068
7796822.857;0.003976686
7860516.19;0.004023972
7927699.048;0.004070592
7986158.095;0.004113882
8022803.81;0.004155174
8062068.571;0.0041958
8076464.762;0.004234428
8099586.667;0.004271058
8116600;0.00430569
8137977.143;0.004338324
8158480;0.004367628
8171567.619;0.004394268
8181601.905;0.004419576
8175493.333;0.004443552
8165897.143;0.00446886
8157609.524;0.004492836
8150628.571;0.004517478
8140158.095;0.004542786
8131868.571;0.00456876
8132742.857;0.004594734
8127289.524;0.004621374
8123798.095;0.004646016
8122706.667;0.004669992
8123144.762;0.004691304
8125870.476;0.004712616
8124998.095;0.004734594
8124998.095;0.004757904
8125542.857;0.00478188
8125434.286;0.00480852
8126742.857;0.00483516
8128379.048;0.004863132
8142339.048;0.004891104
8158916.19;0.004919076
8178984.762;0.004947048
8194253.333;0.004976352
8208213.333;0.005006988
8224792.381;0.005042286
8247041.905;0.005082912
8274525.714;0.00512487
8332548.571;0.005166828
8388388.571;0.005210784
8449466.667;0.005252076
8504434.286;0.005292036
8558531.429;0.005331996
8593430.476;0.005375952
8630948.571;0.005420574
8682426.667;0.005466528
8733034.286;0.005511816
8784512.381;0.005556438
8829883.81;0.005603058
8881361.905;0.005650344
8921497.143;0.00569763
8970358.095;0.005745582
9019220.952;0.00579087
9062845.714;0.005831496
9077241.905;0.00587079
9102544.762;0.005908752
9120432.381;0.005945382
9132647.619;0.005978682
9143552.381;0.006009318
9149660.952;0.006037956
9147699.048;0.006065928
9149443.81;0.006091236
9145518.095;0.006115212
9129156.19;0.006139188
9112142.857;0.006161832
9087276.19;0.00618714
9070699.048;0.00621378
9055864.762;0.00624042
9041032.381;0.006266394
9034925.714;0.006293034
9034053.333;0.006318342
9028817.143;0.006341652
9026853.333;0.006362964
9024238.095;0.00638361
9022274.286;0.006404256
9007440;0.006427566
8998716.19;0.006452208
9001986.667;0.006480846
8996099.048;0.00651015
8993480;0.006539454
8997843.81;0.006566094
9027944.762;0.006592068
9052375.238;0.006618708
9061973.333;0.00664668
9058264.762;0.006677316
9068516.19;0.006710616
9094257.143;0.006747912
9136137.143;0.006787206
9171038.095;0.006825168
9229497.143;0.006863796
9280975.238;0.00690309
9321110.476;0.006941718
9359500.952;0.006981678
9404872.381;0.007024968
9442392.381;0.00706959
9488634.286;0.007113546
9527024.762;0.007157502
9565417.143;0.007202124
9607297.143;0.007246746
9654413.333;0.007291368
9703274.286;0.007336656
9746028.571;0.007383276
9780055.238;0.00742923
9823681.905;0.007469856
9863817.143;0.007507818
9894356.19;0.00754578
9893047.619;0.007583076
9898718.095;0.007616376
9914859.048;0.007648344
9930127.619;0.007679646
9932746.667;0.007709616
9926640;0.007737588
9917476.19;0.007762896
9916169.524;0.007787538
9898718.095;0.007810848
9879087.619;0.007834824
9860327.619;0.0078588
9838950.476;0.007882776
9818447.619;0.00790875
9799251.429;0.00793539
9783544.762;0.007961364
9780055.238;0.007987338
9779401.905;0.008009982
9775257.143;0.008029296
9770240;0.008049942
9749518.095;0.008071254
9727268.571;0.008094564
9703274.286;0.00811854
9685386.667;0.008143848
9670990.476;0.008171154
9653104.762;0.008197128
9631727.619;0.008226432
8777531.429;0.00826506
