Stress;Strain
10119900.95;0.004490172
10307493.33;0.004785876
10540455.24;0.00508491
10812680;0.005349312
11069200;0.00559107
11228000;0.005828166
11304780.95;0.00608724
11365857.14;0.006382944
11480156.19;0.006685974
11682580.95;0.006965028
11904201.9;0.007211448
12053401.9;0.007443216
12091792.38;0.007700958
12091792.38;0.007989336
12161594.29;0.008293032
12324754.29;0.008580744
12526306.67;0.008825166
12679868.57;0.009052938
12710407.62;0.009304686
12697756.19;0.009581742
12726984.76;0.009882774
12852628.57;0.010178478
12979142.86;0.010438884
5354207.619;0.010685304
