Stress,Strain
683617.9048,0.000113886
697142.0952,0.000122544
715028.5714,0.000130536
738586.6667,0.000139194
762144.5714,0.000147852
785702.4762,0.00015651
806643.0476,0.000165168
824093.3333,0.000172494
843288.7619,0.000180486
859430.4762,0.000188478
875135.619,0.000194472
892149.7143,0.000201132
904364.9524,0.000209124
917452.9524,0.000215784
934030.6667,0.000220446
950608.5714,0.000224442
967622.6667,0.000229104
976347.8095,0.000233766
973075.8095,0.000238428
981800.9524,0.000243756
985727.2381,0.000248418
991835.0476,0.000254412
999469.5238,0.000261738
1014302.286,0.000269064
1012775.429,0.000274392
1035679.048,0.000280386
1057492,0.000285048
1072324.762,0.00028971
1080177.524,0.000294372
1078868.762,0.000299034
1095446.476,0.000305028
1103299.048,0.000311688
1101554.095,0.000318348
1109843.048,0.000325008
1129911.048,0.000331668
1143871.429,0.000338994
1158704.19,0.000346986
1176590.667,0.00035631
1193168.571,0.000364968
1209746.476,0.000372294
1231995.619,0.000377622
1253372.381,0.000382284
1269077.714,0.000386946
1279111.619,0.00039294
1285655.429,0.0003996
1285437.333,0.000405594
1300924.571,0.000411588
1317938.667,0.000416916
1331899.048,0.000423576
1338879.048,0.000430236
1347168,0.000436896
1362000.762,0.00044289
1378142.286,0.00044955
1394720.19,0.000456876
1410425.524,0.000464868
1416533.143,0.000471528
1430057.143,0.000477522
1452742.667,0.00048285
1470629.333,0.000488178
1482844.571,0.000493506
1488516,0.0004995
1486770.857,0.00050616
1492660.381,0.000512154
1509456.381,0.000518814
1524725.333,0.000525474
1537813.333,0.000532134
1546102.095,0.000538128
1543702.667,0.000544122
1552428,0.000550116
1572713.905,0.000555444
1585365.524,0.000562104
1598453.143,0.000567432
1613285.905,0.000572094
1625937.524,0.00057609
1629427.619,0.000580752
1626592,0.000586746
1629427.619,0.00059274
1632481.333,0.0005994
1646878.095,0.000605394
1656912,0.000612054
1672617.143,0.000618714
1686141.333,0.000624708
1698356.381,0.000631368
1710571.81,0.000638694
1705772.952,0.000646686
1717552,0.000653346
1744163.81,0.000661338
1756815.238,0.000667998
1769030.667,0.000675324
1783427.048,0.000681984
1796514.857,0.00068931
1808729.905,0.00069597
1821817.905,0.00070263
1835341.905,0.000709956
1848429.714,0.000717282
1858900,0.000723276
1868061.524,0.000729936
